統合ID,文字,華厳孔目,字体数,用例数,部首
10930,許,0823,1,2,149
11095,謂,0824,1,136,149
11025,説,0827,1,127,149
11171,識,0830,1,297,149
11038,調,0836,1,3,149
11058,論,0837,1,63,149
11085,諸,0839,1,110,149
10983,詮,0842,1,9,149
10936,訶,0843,1,3,149
11229,讚,0844,1,2,149
11339,貨,0845,1,2,154
11334,財,0846,1,2,154
11404,質,0847,1,3,154
11397,賢,0848,1,19,154
11471,越,0849,1,2,156
11461,起,0850,1,40,156
11485,趣,0851,1,4,156
11495,足,0852,1,3,157
11548,路,0853,1,2,157
07557,疏,0854a,2,3,103
07557b,疏,0854b,2,1,103
11715,身,0855,1,47,158
11827,輪,0856,1,13,159
11856,轉,0857,1,66,159
11908,辨,0859,1,21,160
12022,進,0860,1,4,162
12052,達,0861,1,11,162
03008,廻,0862,1,14,054
12000,通,0863,1,27,162
12108,還,0864,1,5,162
11982,退,0866,1,4,162
12115,邊,0867,1,5,162
12004,造,0868,1,3,162
12046,過,0869,1,40,162
11993,逐,0870,1,2,162
12037,遂,0871,1,3,162
12054,違,0872,1,18,162
11948,近,0873,1,10,162
11986,逆,0874,1,3,162
11974,迷,0875,1,6,162
12070,遠,0876,1,11,162
12051,道,0877,1,57,162
12134,那,0879,1,47,163
12371,釋,0880,1,6,165
12376,量,0881,1,11,166
12380,金,0882,1,2,167
12613,鏡,0883,1,5,167
12698,長,0884,1,8,168
12716,開,0885,1,4,169
12768,闇,0886,1,2,169
12724,間,0887,1,34,169
12771,闊,0888,1,2,169
12709,門,0889,1,42,169
12834,附,0890,1,2,170
12862,陰,0891,1,7,170
12914,障,0892,1,9,170
12849,陜,0893,1,3,170
12913,際,0894,1,14,170
12830,阿,0895,1,52,170
12855,除,0897,1,6,170
12927,隨,0898,1,40,170
12997,雜,0899,1,19,172
13002,難,0900,1,3,172
12963,集,0901,1,14,172
12991,雖,0902,1,13,172
13103,靜,0903,1,3,174
13104,非,0904,1,71,175
13281,音,0906,1,5,180
13409,顧,0907,1,2,181
13395,顚,0908,1,3,181
13391,願,0909,1,7,181
13316,頓,0910,1,18,181
13398,類,0911,1,15,181
13302,順,0912,1,17,181
13304,須,0913,1,6,181
13416,顯,0914,1,28,181
11411,賴,0915,1,52,154
13503,食,0917,1,2,184
13565,餘,0918,1,46,184
13661,首,0919,1,4,185
13667,香,0920,1,4,186
13849,驗,0921,1,2,187
13934,體,0922,1,56,188
13940,高,0924,1,3,189
13970,髻,0925,1,2,190
13999,鬘,0926,1,2,190
14061,鬼,0927,1,3,194
14659,麤,0928,1,4,198
14661,麥,0929,1,5,199
00102,乘,0930,1,178,004
00128,事,0934a,2,17,006
00128b,事,0934b,2,9,006
00175,今,0935a,2,13,009
00175b,今,0935b,2,5,009
00405,假,0936a,2,15,009
00405b,假,0936b,2,1,009
00573,兔,0937a,2,4,010
00573b,兔,0937b,2,1,010
00701,凡,0938a,2,10,016
00701b,凡,0938b,2,4,016
00893,勝,0939a,2,22,019
00893b,勝,0939b,2,1,019
01796,報,0940a,2,15,032
01796b,報,0940b,2,2,032
01984,契,0941a,2,2,037
01984b,契,0941b,2,1,037
02033,妄,0942,1,17,038
02464,就,0943,1,27,043
02782,己,0944,1,2,049
02783,已,0945a,2,36,049
02783b,已,0945b,2,1,049
02992,廢,0946a,2,1,053
02992b,廢,0946b,2,1,053
03348,情,0947a,2,4,061
03348b,情,0947b,2,2,061
03904,揚,0948a,2,2,064
03904b,揚,0948b,2,1,064
04228,改,0949a,2,2,066
04228b,改,0949b,2,1,066
04667,會,0950a,2,7,073
04667b,會,0950b,2,3,073
05228,槃,0951a,2,6,075
05228b,槃,0951b,2,1,075
04967,梁,0952a,2,3,075
04967b,梁,0952b,2,1,075
07469,用,0953a,2,13,101
07469b,用,0953b,2,11,101
07707,發,0954a,2,8,105
07707b,發,0954b,2,4,105
08963,縛,0955a,2,1,120
08963b,縛,0955b,2,1,120
09328,聲,0956a,2,20,128
09328b,聲,0956b,2,7,128
09314,聚,0957a,2,3,128
09314b,聚,0957b,2,2,128
10914,記,0958a,2,18,149
10914b,記,0958b,2,1,149
10875,解,0959a,2,19,148
10875b,解,0959b,2,15,148
11189,譬,0960a,2,3,149
11189b,譬,0960b,2,1,149
12831,陀,0961a,2,11,170
12831b,陀,0961b,2,1,170
13001,離,0962a,2,30,172
13001b,離,0962b,2,7,172
14828,齊,0963a,2,19,210
14828b,齊,0963b,2,7,210
08261,穀,0964a,3,7,115
08261b,穀,0964b,3,1,115
08261c,穀,0964c,3,1,115
