カード番号,文字,部首,字体数,用例数１,用例数２,用例数３,大字典
0604,比,081,1,4,,,05841
0605,氣,084,1,6,,,05947
0606-0610,法,085,1,231,,,06074
0611,涅,085,1,7,,,06189
0612,求,085,1,10,,,05964
0613,渇,085,1,2,,,06338
0614-0615,淨,085,1,57,,,06272
0616-0617,滅,085,1,85,,,06432
0618,海,085,1,34,,,06182
0619,決,085,2,10,1,,06003
0620,流,085,1,14,,,06151
0621,漢,085,1,8,,,06499
0622,治,085,1,7,,,06055
0623,減,085,1,5,,,06313
0624,永,085,1,3,,,05957
0625,沫,085,1,2,,,06039
0626,清,085,1,15,,,06290
0627,滿,085,1,4,,,06476
0628,漏,085,1,10,,,06487
0629,淺,085,1,5,,,06292
0630,汝,085,1,2,,,05983
0631,深,085,1,12,,,06285
0632,汚,085,1,11,,,05979
0633,波,085,1,2,,,06086
0634,漸,085,1,12,,,06517
0635,濕,085,1,3,,,06633
0636,水,085,1,5,,,05952
0637-0643,無,086,1,349,,,06872
0644,火,086,1,2,,,06776
0645,煩,086,1,14,,,06921
0646,然,086,1,9,,,06885
0647,照,086,1,15,,,06918
0648,熟,086,1,26,,,06949
0649-0650,熏,086,1,58,,,06941
0651-0654,爲,087,1,186,,,07032
0655,爾,089,1,20,,,07043
0656,物,093,1,5,,,07080
0657,厭,027,1,2,,,01088
0658,猶,094,1,5,,,07203
0659,獨,094,1,9,,,07230
0660,王,096,1,10,,,07262
0661-0662,理,096,1,55,,,07307
0663,現,096,1,20,,,07304
0664,瑜,096,1,3,,,07345
0665,珠,096,1,3,,,07291
0666,甚,099,1,3,,,07457
0667-0670,生,100,1,192,,,07461
0671-0672,由,102,1,55,,,07479
0673,畏,102,1,2,,,07503
0674-0677,界,102,1,165,,,07501
0678,異,102,1,41,,,07530
0679,略,102,1,11,,,07522
0680,畢,102,1,3,,,07520
0681,男,102,1,3,,,07483
0682,當,102,1,48,,,07535
0683,癡,104,1,2,,,07685
0684,病,104,1,3,,,07598
0685,皆,106,1,26,,,07717
0686,白,106,1,3,,,07709
0687,百,106,1,6,,,07710
0688,益,108,1,4,,,07759
0689,盧,108,1,2,,,07785
0690,盡,108,1,30,,,07779
0691,目,109,1,11,,,07790
0692-0695,相,109,1,169,,,07801
0696,眼,109,1,13,,,07843
0697,眠,109,1,3,,,07828
0698-0699,眞,109,1,67,,,07827
0700-0702,知,111,1,113,,,07941
0703,破,112,1,3,,,07986
0704,礙,112,1,6,,,08077
0705,示,113,1,2,,,08097
0706,禮,113,1,42,,,08165
0707,祇,113,1,2,,,08107
0708,福,113,1,3,,,08148
0709,祕,113,1,6,,,08116
0710,禪,113,1,2,,,08162
0711-0713,種,115,1,127,,,08244
0714,積,115,1,6,,,08269
0715,08195x,115,1,2,,,
0716,究,116,1,21,,,08293
0717,空,116,1,39,,,08296
0718,窮,116,1,6,,,08329
0719,竟,117,1,23,,,08365
0720,竝,117,1,20,,,08361
0721-0722,立,117,1,51,,,08354
0723,章,117,1,24,,,08366
0724,第,118,1,48,,,08412
0725-0727,等,118,1,150,,,08426
0728,絶,120,1,3,,,08809
0729,終,120,2,20,6,,08795
0730,純,120,1,2,,,08753
