統合ID,文字,光武帝紀,字体数,用例数,部首
00582,入,0522,1,11,011
00605,其,0523,1,36,012
00594,八,0524,1,9,012
00599,共,0525,1,5,012
00596,公,0526,1,8,012
00597,六,0527,1,11,012
00602,兵,0528,1,33,012
00646,冠,0529,1,2,014
00650,冤,0530,1,2,014
00662,冬,0531,1,5,015
00723,出,0532,1,14,017
00735,切,0533,1,2,018
00759,初,0534,1,8,018
00794,前,0535,1,12,018
00783,刻,0536,1,2,018
00789,則,0537,1,4,018
00763,別,0538,1,3,018
00734,分,0539,1,6,018
00840,劉,0540,1,31,018
00754,列,0541,1,4,018
00746,刑,0542,1,3,018
00769,到,0543,1,6,018
00767,利,0544,1,2,018
00776,制,0545,1,2,018
00885,勒,0546,1,2,019
00893,勝,0547,1,6,019
00856,力,0548,1,5,019
00857,功,0549,1,9,019
00887,動,0550,1,2,019
00863,助,0551,1,3,019
00941,北,0552,1,13,021
00992,午,0553,1,10,024
01005,卓,0554,1,2,024
00991,升,0555,1,12,024
01004,卒,0556,1,6,024
00985,十,0557,1,39,024
01010,南,0558,1,20,024
01016,博,0559,1,4,024
00987,千,0560,1,16,024
01033,卯,0561,1,5,026
01049,卽,0562,1,7,026
01038,却,0563,1,3,026
01035,危,0564,1,2,026
01074,原,0565,1,4,027
01088,厭,0566,1,2,027
01101,去,0567,1,8,028
01127,取,0568,1,3,029
01111,及,0569,1,10,029
01124,叔,0570,1,4,029
01128,受,0571,1,5,029
01116,反,0572,1,12,029
01108,又,0573,1,9,029
01185,君,0574a,2,1,030
01185b,君,0574b,2,1,030
01207,呉,0575,1,16,030
01235,周,0576,1,4,030
01589,囂,0577,1,3,030
01581,嚴,0578,1,4,030
01157,史,0579,1,2,030
01251,呼,0580,1,2,030
01412,喜,0581a,2,3,030
01412b,喜,0581b,2,1,030
01252,命,0582,1,8,030
01479,嘗,0583,1,3,030
01177,吏,0584,1,14,030
01170,合,0585,1,10,030
01163,司,0586,1,28,030
01154,可,0587,1,13,030
01158,右,0588,1,4,030
01142,古,0589,1,2,030
01176,后,0590,1,2,030
01217,吾,0591,1,4,030
01168,各,0592,1,8,030
01174,同,0593,1,4,030
01175,名,0594,1,5,030
01627,固,0595,1,3,031
01609,回,0596,1,3,031
01639,國,0597,1,9,031
01611,因,0598,1,10,031
01607,四,0599,1,19,031
01606,囚,0600,1,2,031
01647,圖,0601,1,3,031
01644,園,0602,1,3,031
01767,堅,0603,1,6,032
01666,地,0604,1,7,032
01740,城,0605,1,34,032
01659,在,0606,1,11,032
01674,均,0607,1,2,032
01755,執,0608,1,4,032
01654,土,0609,1,3,032
01710,垂,0610,1,3,032
