統合ID,文字,S.2577,字体数,用例数,部首
07304,現,0574,1,26,096
07291,珠,0575,1,2,096
07457,甚,0576,1,5,099
07461,生,0577,1,26,100
07522,略,0578,1,4,102
07513,畜,0579,1,2,102
05845,毗,0580,1,10,081
07501,界,0581,1,6,102
07503,畏,0582,1,3,102
07479,由,0583,1,4,102
07483,男,0584,1,10,102
07618x4,痤,0585,1,2,104
07598,病,0586,1,5,104
07707,發,0587,1,8,105
07709,白,0588,1,27,106
07710,百,0589,1,17,106
07717,皆,0590,1,10,106
07785,盧,0591,1,3,108
07779,盡,0592,1,7,108
07759,益,0593,1,4,108
07801,相,0594,1,5,109
07790,目,0595,1,4,109
07910,瞿,0596,1,2,109
07907,瞻,0597,1,2,109
07844,眾,0598,1,35,109
07839,眷,0599,1,7,109
07827,眞,0600,1,2,109
07868,睪,0601,1,2,109
07843,眼,0602,1,10,109
M23523,睺,0603,1,3,109
07941,知,0604,1,15,111
07948,短,0605,1,3,111
07986,破,0606,1,5,112
08107,祇,0607,1,2,113
08148,福,0608,1,8,113
08124,神,0609,1,21,113
08165,禮,0610,1,7,113
08166,禰,0611a,2,5,113
08166b,禰,0611b,2,3,113
08097,示,0612,1,4,113
08248,稱,0613,1,2,115
08244,種,0614,1,15,115
08293,究,0615,1,2,116
08296,空,0616,1,11,116
08371,童,0617,1,5,117
08354,立,0618,1,2,117
08426,等,0619,1,41,118
08412,第,0620,1,2,118
08685,精,0621,1,5,119
09020,繞,0622,1,3,120
08906,緊,0623,1,2,120
08889,綵,0624a,2,1,120
08889b,綵,0624b,2,1,120
08795,終,0625,1,4,120
09125,罪,0626,1,3,122
09144,羅,0627,1,71,122
09190,羶,0629,1,3,123
09177,義,0630,1,4,123
09214,習,0631,1,3,124
09255,者,0632,1,64,125
09264,而,0634,1,33,126
09286,耨,0635,1,6,127
09292,耶,0636,1,6,128
09328,聲,0637,1,5,128
09335,聽,0638,1,9,128
09315,聞,0639,1,9,128
09314,聚,0640,1,2,128
09548,膩,0641,1,2,130
09429,能,0642,1,19,130
09463,脱,0643,1,3,130
09459,脣,0644,1,2,130
