統合ID,文字,花嚴新羅,字体数,用例数,部首
12800,闥,0488,1,2,169
12709,門,0489,1,3,169
12724,間,0490,1,11,169
12716,開,0491,1,3,169
12739,閣,0492,1,4,169
12847,陛,0493,1,2,170
12927,隨,0494,1,2,170
12883,隅,0495,1,4,170
12831,陀,0496,1,5,170
12892,階,0497,1,3,170
12913,際,0498,1,20,170
13001,離,0499,1,4,172
12963,集,0500,1,3,172
13020,雲,0501,1,53,173
13095,青,0502,1,2,174
13107,靡,0503,1,4,175
13281,音,0504,1,35,180
13391,願,0505,1,16,181
13307,頌,0506,1,8,181
13304,須,0507,1,8,181
13416,顯,0508,1,2,181
13423,風,0509,1,15,182
13542,飾,0510,1,18,184
13667,香,0511,1,54,186
13934,體,0513,1,28,188
14645,麗,0514,1,2,198
14828,齊,0515,1,2,210
01666,地,0516a,2,23,032
01666b,地,0516b,2,1,032
08097,示,0517,0,1,113
