統合ID,文字,五一續高,字体数,用例数,部首
12115,邊,0477,0,1,162
12082,遭,0478,0,1,162
11984,逃,0479,0,1,162
12054,違,0480,0,1,162
12003,速,0481,0,1,162
12087,遲,0482,0,1,162
12229,鄭,0483,0,1,163
12134,那,0484,0,1,163
12131,邡,0485,0,1,163
12179,郭,0486,0,1,163
12212,鄙,0487,0,1,163
12350,醴,0488,0,1,164
12262,酌,0489,0,1,164
12372,里,0491,0,1,166
12694,鑿,0492,0,1,167
12473,銷,0493,0,1,167
12418,鈴,0494,0,1,167
12464,銘,0495,0,1,167
12388,釣,0496,0,1,167
12526,錫,0497,0,1,167
12411,鈔,0498,0,1,167
12665,鑑,0499,0,1,167
12692,鑽,0500,0,1,167
12751,閲,0501,0,1,169
12714,閉,0502,0,1,169
12724,間,0503,0,1,169
12755,閹,0504,0,1,169
12795,闡,0505,0,1,169
