統合ID,文字,P2334,字体数,用例数,部首
12022,進,0592,1,3,162
12042,遊,0593,1,3,162
12046,過,0594,1,10,162
12051,道,0595,1,22,162
12070,遠,0596,1,6,162
12074,遣,0597,1,8,162
12108,還,0598,1,2,162
12134,那,0599,1,11,163
12313,醉,0600,1,2,164
12373,重,0601,1,13,166
12376,量,0602,1,28,166
12694,鑿,0603,1,2,167
12698,長,0604,1,6,168
12716,開,0605,1,2,169
12722,閑,0606,1,3,169
12724,間,0607,1,14,169
12800,闥,0608,1,2,169
12830,阿,0609,1,52,170
12831,陀,0611,1,4,170
12864,陳,0612,1,3,170
12927,隨,0613,1,8,170
12963,集,0614,1,2,172
12991,雖,0615,1,2,172
13002,難,0616,1,20,172
13104,非,0617,1,3,175
13108,面,0618,1,6,176
13281,音,0619,1,2,180
13302,順,0620,1,3,181
13304,須,0621,1,9,181
13346,頭,0622,1,4,181
13391,願,0623,1,12,181
13398,類,0624,1,3,181
13503,食,0625,1,8,184
13551,養,0626,1,28,184
13565,餘,0627,1,5,184
13636,饌,0628,1,2,184
13586y2,餚,0629,1,2,184
13641,饒,0630,1,3,184
13667,香,0631,1,15,186
13845,驕,0632,1,3,187
13852,驚,0633,1,2,187
13940,高,0634,1,3,189
14061,鬼,0635,1,2,194
14876,龍,0636,1,3,212
00118,乾,0637a,2,2,005
00118b,乾,0637b,2,2,005
00216,伎,0638a,2,3,009
00216b,伎,0638b,2,1,009
00562,充,0639a,2,2,010
00562b,充,0639b,2,1,010
00606,具,0640a,2,13,012
00606b,具,0640b,2,1,012
00857,功,0641a,2,5,019
00857b,功,0641b,2,3,019
01654,土,0642a,2,24,032
01654b,土,0642b,2,1,032
03549,懈,0643a,2,2,061
03549b,懈,0643b,2,1,061
04664,最,0644a,2,4,073
04664b,最,0644b,2,1,073
05228,槃,0645a,2,3,075
05228b,槃,0645b,2,1,075
07707,發,0646a,2,3,105
07707b,發,0646b,2,1,105
08293,究,0647a,2,2,116
08293b,究,0647b,2,1,116
09629,與,0648a,2,7,134
09629b,與,0648b,2,6,134
11618,蹈,0649a,2,1,157
11618b,蹈,0649b,2,1,157
12052,達,0650a,2,1,162
12052b,達,0650b,2,1,162
