カード番号,文字,字体数,用例数1,用例数2,大字典番号,部首番号
0521,念,2,29,3,03214,061
0522,或,2,3,1,03617,062
0523,擇,2,1,1,04085,064
0524,施,2,2,1,04391,070
0525,最,2,3,2,04664,073
0526,深,2,12,4,06285,085
0527,直,2,6,2,07799,109
0528,脩,2,47,1,09462,130
0529,遁,2,2,2,12035,162
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
