統合ID,文字,S81,字体数,用例数,部首
00857,功,0401,1,5,019
00865,劫,0402,1,9,019
00879,勅,0403,1,2,019
00887,動,0404,1,11,019
00985,十,0405,1,29,024
00987,千,0406,1,7,024
00994,半,0407,1,2,024
01049,卽,0408,1,20,026
01101,去,0409,1,6,028
01108,又,0410,1,4,029
01111,及,0411,1,9,029
01127,取,0412,1,2,029
01128,受,0413,1,23,029
01141,口,0414,1,3,030
01148,叫,0415,1,3,030
01154,可,0416,1,12,030
01158,右,0417,1,5,030
01168,各,0418,1,6,030
01170,合,0419,1,2,030
01172,吉,0420,1,3,030
01174,同,0421,1,2,030
01175,名,0422,1,23,030
01179,向,0423,1,2,030
01197,含,0424,1,2,030
01212,吹,0425,1,2,030
01219,告,0426,1,2,030
01242,味,0427,1,3,030
01252,命,0428,1,12,030
01263,和,0429,1,4,030
01276,咤,0430,1,2,030
01285,咳,0431,1,2,030
01305,哉,0432,1,4,030
01349,唯,0433,1,4,030
01350,唱,0434,1,2,030
01363,商,0435,1,2,030
01369,問,0436,1,2,030
01395,善,0437,1,46,030
01410,喚,0438,1,2,030
01595,囊,0439,1,4,030
