統合ID,文字,開成周易,字体数,用例数,部首
03607,戎,0880,1,8,062
03614,戔,0881,1,2,062
03612,戒,0882,1,9,062
03616,戕,0883,1,2,062
03611,我,0884,1,26,062
03610,成,0885,1,61,062
02105,威,0887,1,7,038
03617,或,0888,1,47,062
03640,戸,0889,1,8,063
03647,所,0890,1,100,063
04087,擊,0892,1,5,064
03783,指,0893,1,2,064
03939,損,0894,1,21,064
03908,揜,0895,1,2,064
03730,拂,0896,1,3,064
03757,拘,0897,1,2,064
04054,撝,0898,1,2,064
03921,揮,0899,1,2,064
03764,括,0900,1,4,064
03750,拔,0901,1,5,064
04008,摧,0902,1,2,064
03736,拇,0903,1,4,064
03878,接,0904,1,3,064
03799,振,0905,1,3,064
04204,攣,0906,1,4,064
03867,掛,0907,1,2,064
03663,扐,0908,1,2,064
03661,才,0909,1,2,064
04122,擬,0910,1,6,064
04070,撰,0911,1,3,064
03880,推,0912,1,8,064
04106,據,0913,1,6,064
03711,折,0914,1,9,064
03767,拯,0915,1,4,064
03690,承,0916,1,14,064
03904,揚,0917,1,4,064
03758,招,0918,1,2,064
04286,敬,0919,1,7,066
04243,故,0920,1,207,066
04228,改,0924,1,7,066
04227,攸,0925,1,46,066
04281,敦,0926,1,7,066
04272,敝,0927,1,2,066
04268,敗,0928,1,3,066
04261,教,0929,1,5,066
04251,效,0930,1,5,066
04231,攻,0931,1,3,066
04280,散,0932,1,4,066
04298,數,0933,1,17,066
04293,敵,0934,1,4,066
04319,變,0935,1,65,066
04263,救,0937,1,2,066
04321,文,0938,1,30,067
04381,斷,0939,1,10,069
04373,斯,0940,1,12,069
04376,新,0941,1,3,069
04364,斧,0942,1,4,069
04402,旅,0943,1,20,070
04391,施,0944,1,10,070
04394,旁,0945,1,2,070
04385,方,0946,1,27,070
04389,於,0947,1,79,070
04439,无,0949,1,301,071
04512,是,0955,1,82,072
04587,暑,0957,1,4,072
04490,昔,0958,1,2,072
04453,旬,0959,1,3,072
04552,晦,0960,1,4,072
04530,晉,0961,1,10,072
04476,昃,0962,1,3,072
04523,時,0963,1,74,072
04505,昧,0965,1,6,072
04600,暢,0966,1,2,072
04485,明,0967,1,92,072
04608,暴,0969,1,3,072
04489,易,0970,1,87,072
04542,晝,0972,1,5,072
04446,日,0973,1,61,072
04664,最,0975,1,3,073
04653,曳,0976,1,6,073
04657,書,0977,1,6,073
04650,曰,0978,1,573,073
04651,曲,0988,1,3,073
04674,有,0989,1,361,074
04693,望,0996,1,5,074
04699,期,0997,1,5,074
04696,朝,0998,1,2,074
04676,朋,0999,1,15,074
04673,月,1000,1,18,074
05150,楫,1001,1,2,075
04769,杵,1002,1,2,075
04738,材,1003,1,3,075
04933,案,1004,1,2,075
05279,樂,1005,1,6,075
04720,朶,1006,1,2,075
04813,枯,1007,1,3,075
04904,校,1008,1,6,075
04723,机,1009,1,2,075
05327,樽,1010,1,2,075
05210,榮,1011,1,2,075
05368,機,1012,1,2,075
05307,樞,1013,1,2,075
04961,桷,1014,1,2,075
04838,柅,1015,1,2,075
04707,木,1016,1,25,075
04765,東,1017,1,9,075
04942,桓,1018,1,2,075
04836,柄,1019,1,2,075
04941,桑,1020,1,2,075
05123,楊,1021,1,3,075
04806,果,1022,1,6,075
05343,橈,1023,1,8,075
05152,業,1024,1,12,075
05037,棟,1025,1,8,075
04711,未,1026,1,68,075
04712,末,1028,1,5,075
05161,極,1029,1,12,075
04849,柔,1030,1,71,075
04713,本,1032,1,11,075
05609,歌,1033,1,2,076
05580,欲,1034,1,2,076
05666,歳,1035,1,9,077
05676,歸,1036,1,29,077
05643,正,1037,1,75,077
05644,此,1039,1,26,077
05641,止,1040,1,21,077
05649,武,1041,1,8,077
05670,歷,1042,1,3,077
05686,死,1043,1,6,078
05717,殊,1044,1,2,078
05796,殺,1045,1,3,079
05795,殷,1046,1,2,079
05812,毀,1047,1,2,079
05839,毒,1048,1,3,080
05834,母,1049,1,7,080
05841,比,1050,1,26,081
05932,氏,1051,1,5,083
05935,民,1052,1,41,083
05947,氣,1053,1,7,084
06034,沛,1054,1,3,085
06315,渝,1055,1,6,085
06183,浸,1056,1,3,085
06098,泰,1057,1,7,085
06055,治,1058,1,11,085
05957,永,1059,1,13,085
06432,滅,1060,1,12,085
06548,潛,1061,1,9,085
06285,深,1062,1,6,085
06074,法,1063,1,8,085
06681,瀆,1064,1,7,085
06553,潤,1065,1,4,085
06517,漸,1066,1,12,085
06641,濟,1067,1,24,085
06003,決,1068,1,12,085
06311,渙,1069,1,16,085
06192,消,1070,1,6,085
06501,漣,1071,1,2,085
06031,沙,1072,1,2,085
06310,淵,1073,1,6,085
06159,浚,1074,1,2,085
06202,涕,1075,1,3,085
06126,洟,1076,1,2,085
06322,渥,1077,1,2,085
06329,渫,1078,1,2,085
06110,洊,1079,1,2,085
06088,泥,1080,1,6,085
06063,泉,1081,1,3,085
05976,汔,1082,1,4,085
06087,泣,1083,1,3,085
06151,流,1084,1,6,085
