,,kgk_賢劫経二,kgk_賢劫経二,kgk_賢劫経二,
統合ID,見出し文字,代表字形ID,字体数,代表字形ID,部首
07307,理,0679,1,3,096
07298,班,0680,1,4,096
07304,現,0681,1,11,096
07287,珍,0682,1,4,096
07262,王,0683,1,38,096
07315,琦,0684,1,2,096
07456,甘,0685,1,2,099
07457,甚,0686,1,10,099
07461,生,0687,1,62,100
07469,用,0689,1,13,101
07503,畏,0690,1,11,102
07479,由,0691,1,2,102
07530,異,0692,1,9,102
07501,界,0693,1,21,102
07513,畜,0694,1,2,102
07668,療,0695,1,3,104
07598,病,0696,1,8,104
07591,疾,0697,1,6,104
07685,癡,0698,1,4,104
07707,發,0699,1,19,105
07717,皆,0700,1,30,106
07710,百,0701,1,20,106
07709,白,0702,1,7,106
07779,盡,0703,1,11,108
07759,益,0704,1,2,108
07843,眼,0705,1,10,109
07844,眾,0706,1,86,109
07827,眞,0708,1,23,109
07870,睹,0709,1,3,109
07860,睡,0710,1,2,109
07801,相,0711,1,4,109
07828,眠,0712,1,2,109
07790,目,0713,1,8,109
07839,眷,0714,1,7,109
07941,知,0715,1,17,111
08077,礙,0716,1,5,112
08097,示,0717,1,5,113
08124,神,0718,1,10,113
08148,福,0719,1,11,113
08143,禁,0720,1,2,113
08162,禪,0721,1,4,113
08224,稍,0722,1,2,115
08279,穢,0723,1,2,115
08248,稱,0724,1,4,115
08244,種,0725,1,8,115
08269,積,0726,1,4,115
08329,窮,0727,1,6,116
08296,空,0728,1,9,116
08354,立,0729,1,13,117
08365,竟,0730,1,8,117
08382,竹,0731,1,2,118
08412,第,0732,1,5,118
08426,等,0733,1,28,118
08685,精,0734,1,8,119
08778,累,0735,1,3,120
08885,網,0736,1,2,120
09030,繋,0737,1,2,120
08993,總,0738,1,6,120
08795,終,0739,1,8,120
08856,經,0740,1,21,120
08822,給,0741,1,2,120
08807,結,0742,1,3,120
08924,緣,0743,1,4,120
08753,純,0744,1,2,120
08879,維,0745,1,5,120
09144,羅,0746,1,3,122
09125,罪,0747,1,6,122
09177,義,0748,1,6,123
09214,習,0749,1,6,124
09250,老,0750,1,3,125
09255,者,0751,1,30,125
09264,而,0752,1,26,126
09290,耳,0753,1,3,128
09308,聖,0754,1,12,128
09292,耶,0755,1,7,128
09335,聽,0756a,2,9,128
09335b,聽,0756b,2,1,128
09315,聞,0757,1,42,128
09328,聲,0758,1,3,128
09429,能,0759,1,17,130
09462,脩,0760,1,8,130
09463,脱,0761,1,9,130
09601,臨,0762a,2,2,131
09601b,臨,0762b,2,1,131
09602,自,0763,1,38,132
09611,致,0764,1,5,133
09610,至,0765,1,28,133
09630,興,0766,1,12,134
09638,舍,0767,1,7,135
10040,蓋,0768,1,7,140
09886,莫,0769,1,3,140
09789,苦,0770,1,8,140
09788,若,0771,1,25,140
10191,藏,0772,1,8,140
09972,著,0773a,2,4,140
09972b,著,0773b,2,2,140
09921,華,0774,1,6,140
10050,蓮,0775,1,2,140
09919,菩,0776,1,55,140
10163,薩,0778,1,53,140
09807,茂,0780,1,3,140
09966,葉,0781,1,3,140
10204,藥,0782,1,4,140
10270,處,0783,1,13,141
10272,虛,0784,1,8,141
10614,行,0785,1,53,144
10618,術,0787,1,2,144
10630,衞,0788,1,5,144
10683,被,0789,1,2,145
10637,衣,0790,1,5,145
10703,裏,0791,1,2,145
10822,要,0792,1,5,146
10820,西,0793,1,2,146
10826,覆,0794,1,2,146
10831,見,0795,1,27,147
10848,親,0796,1,4,147
10859,觀,0797,1,16,147
10875,解,0798,1,11,148
10974,詣,0799,1,8,149
11200,護,0800a,2,17,149
11200b,護,0800b,2,2,149
10896,計,0801,1,8,149
11023,誦,0802,1,5,149
11017,語,0803,1,2,149
11171,識,0804,1,3,149
11095,謂,0805,1,10,149
10890,言,0806,1,16,149
11025,虔,0807,1,30,149
11035,誹,0808,1,4,149
11116,謗,0809,1,4,149
11084,諷,0810,1,4,149
11119,講,0811,1,5,149
10909,訓,0812,1,3,149
11085,諸,0813,1,63,149
11072,諦,0815,1,5,149
11189,譬,0816,1,3,149
11038,調,0817,1,2,149
11008,誓,0818,1,2,149
11397,賢,0819,1,3,154
11334,財,0820,1,3,154
11338,貧,0821,1,2,154
11461,起,0822,1,14,156
11485,趣,0823,1,7,156
11495,足,0824,1,11,157
11548,路,0825,1,3,157
11715,身,0826,1,19,158
11826,輩,0827,1,2,159
11827,輪,0828,1,5,159
11856,轉,0829,1,11,159
11802,輕,0830,1,4,159
11951,返,0831,1,3,162
11974,迷,0832,1,4,162
12051,道,0833,1,64,162
12052,達,0835,1,6,162
12019,逮,0836,1,22,162
12022,進,0837,1,12,162
12004,造,0838,1,7,162
12000,通,0839,1,12,162
12046,過,0840,1,6,162
12108,還,0841,1,4,162
12042,遊,0842,1,4,162
12070,遠,0843,1,5,162
11982,退,0844,1,4,162
12027,逸,0845,1,3,162
12010,連,0846,1,7,162
12115,邊,0847,1,3,162
11960,迦,0848,1,2,162
12074,遣,0849,1,3,162
12134,那,0850,1,2,163
12176,部,0851,1,2,163
12341,醫,0852,1,3,164
12376,量,0853,1,13,166
12373,重,0854,1,3,166
