,,kak_開成孝経,kak_開成孝経,kak_開成孝経,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
10614,行,0448,1,14,144
10714,補,0449,1,2,145
10822,要,0450,1,4,146
10859,觀,0451,1,2,147
10848,親,0452,1,24,147
11085,諸,0453,1,2,149
10890,言,0454,1,8,149
10979,詩,0455,1,8,149
11095,謂,0456,1,3,149
11355,貴,0457,1,4,154
11373,資,0458,1,3,154
11451,赫,0459,1,2,155
11715,身,0460,1,10,158
12000,通,0461,1,3,162
12051,道,0462,1,13,162
12046,過,0463,1,3,162
12022,進,0464,1,2,162
11982,退,0465,1,2,162
12097,遺,0466,1,2,162
12263,配,0467,1,3,164
12698,長,0468,1,5,168
12716,開,0469,1,2,169
12864,陳,0470,1,2,170
12935,隱,0471,1,2,170
12991,雖,0472,1,9,172
13001,離,0473,1,2,172
13104,非,0474,1,9,175
13302,順,0475,1,11,181
13423,風,0476,1,3,182
13551,養,0477,1,3,184
13845,驕,0478,1,3,187
13940,高,0479,1,2,189
14061,鬼,0480,1,3,194
