,,kcj_慶長紀2,kcj_慶長紀2,kcj_慶長紀2,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
01187,呑,0511,1,2,030
01154,可,0512,1,28,030
01168,各,0513,1,2,030
01150,召,0514,1,10,030
01179,向,0515,1,11,030
01369,問,0516,1,39,030
01252,命,0517,1,75,030
01141,口,0519,1,17,030
01185,君,0520a,2,7,030
01185b,君,0520b,2,4,030
01170,合,0521,1,9,030
01217,吾,0522,1,87,030
01188,吟,0524,1,4,030
01263,和,0525,1,5,030
01349,唯,0526,1,4,030
01175,名,0527,1,22,030
01484,嘯,0528,1,3,030
01639,國,0529,1,62,031
01611,因,0531,1,40,031
01623,困,0532,1,4,031
01627,固,0533,1,2,031
01607,四,0534,1,2,031
01666,地,0535,1,15,032
01796,報,0536,1,14,032
01659,在,0537,1,29,032
01672,坂,0538,1,2,032
01767,堅,0539,1,3,032
01939,夜,0540,1,15,036
01938,多,0541,1,11,036
01957,失,0542,1,7,037
01972,奇,0543,1,2,037
01948,太,0544,1,9,037
01949,夫,0545,1,4,037
01974,奉,0546,1,29,037
01947,天,0547,1,209,037
01946,大,0552,1,52,037
02062,妾,0554,1,20,038
02069,始,0555,1,4,038
02061,妻,0556,1,10,038
02134,娶,0557,1,10,038
02108,姫,0558,1,69,038
02022,女,0560,1,53,038
02031,如,0562,1,24,038
02122,娠,0563,1,8,038
02032,妃,0564,1,6,038
02078,委,0565,1,2,038
02105,威,0566,1,5,038
02119,娜,0567,1,3,038
02059,妹,0568,1,5,038
02068,姉,0569,1,2,038
02024,奴,0570,1,3,038
02155,婦,0571,1,2,038
02151,婢,0572,1,2,038
02282,孫,0573,1,84,039
02265,孕,0575,1,2,039
02352,容,0576,1,7,040
02325,定,0577,1,7,040
02331,客,0578,1,5,040
02390,實,0579,1,5,040
02346,害,0580,1,5,040
09348,肉,0581,1,3,130
02407,寶,0582,1,5,040
02332,室,0583,1,8,040
02309,安,0584,1,3,040
02430,尋,0585,1,12,041
02425,將,0586,1,25,041
02422,射,0587,1,7,041
02435,對,0588,1,23,041
02439,小,0589,1,9,042
02440,少,0590,1,5,042
02464,就,0591,1,8,043
02504,屢,0592,1,5,044
02478,尾,0593,1,2,044
02482,居,0594,1,14,044
02488,屋,0595,1,21,044
02528,山,0596,1,27,046
02589,峯,0597,1,6,046
02540,岐,0598,1,3,046
02607,崇,0599,1,3,046
02640,崩,0600,1,3,046
02762,川,0601,1,5,047
02774,左,0602,1,2,048
02783,已,0603,1,26,049
02782,己,0604,1,12,049
02881,幡,0605,1,16,050
02847,常,0606,1,3,050
02839,席,0607,1,2,050
02846,帶,0608,1,6,050
02828,帥,0609,1,2,050
02903,幸,0610,1,25,051
02899,平,0611,1,20,051
02900,年,0613,1,6,051
02993,廣,0614,1,3,053
02952,庭,0615,1,2,053
02924,床,0616,1,10,053
02946,座,0617,1,3,053
03005,延,0619,1,4,054
03042,弓,0620,1,10,057
03066,強,0621,1,2,057
03043,弔,0622,1,4,057
03044,引,0623,1,2,057
03065,張,0624,1,2,057
03106,彦,0625,1,114,059
03116,影,0628,1,2,059
03145,得,0629,1,18,060
03132,待,0630,1,6,060
03124,彼,0631,1,14,060
03138,後,0632,1,21,060
03159,復,0633,1,32,060
03151,從,0634,1,17,060
03158,徨,0635,1,2,060
03172,德,0636,1,2,060
03121,彷,0637,1,2,060
03142,徑,0638,1,4,060
03153,御,0639,1,11,060
03367,惡,0640,1,6,061
03365,惟,0641,1,2,061
03320,悔,0642,1,2,061
03194,志,0643,1,4,061
03220,忿,0644a,2,3,061
03220b,忿,0644b,2,2,061
03395,意,0645,1,6,061
03438,慇,0646,1,2,061
03335,悲,0647,1,2,061
03550,應,0648,1,2,061
03499,憐,0649,1,4,061
03544,懃,0650,1,2,061
03183,忌,0651,1,2,061
03585,懷,0652,1,3,061
03405,愛,0653,1,3,061
03239,思,0654,1,6,061
03486,憂,0655,1,8,061
03348,情,0656,1,4,061
03180,必,0657,1,15,061
03179,心,0658,1,10,061
03291,恨,0659,1,9,061
03466,慮,0660,1,2,061
03410,慍,0661,1,2,061
03184,忍,0662,1,12,061
03298,息,0663,1,6,061
03453,慙,0664,1,4,061
03219,忽,0665,1,6,061
03329,患,0666,1,3,061
03243,急,0667,1,5,061
03238,怜,0668,1,4,061
03534,憶,0669,1,3,061
03372,惱,0670,1,3,061
03229,怒,0671,1,4,061
03387,愁,0672,1,4,061
03610,成,0673,1,3,062
03611,我,0674,1,31,062
03617,或,0675,1,3,062
03647,所,0676,1,46,063
03640,戸,0677,1,6,063
03659,手,0678,1,15,064
03708,投,0679,1,5,064
04106,據,0680,1,4,064
04062,撥,0681,1,3,064
03911,握,0682,1,2,064
03855,授,0683,1,10,064
04146,攀,0684,1,2,064
04069,播,0685,1,10,064
03751,拕,0686,1,4,064
03862,排,0687,1,6,064
03780,持,0688,1,13,064
03874,探,0689,1,5,064
03704,抑,0690,1,2,064
03715,披,0691,1,2,064
03711,折,0692,1,10,064
03939,損,0693,1,2,064
03720,抱,0694,1,2,064
03858,掌,0695,1,3,064
04243,故,0696,1,83,066
04261,教,0698,1,12,066
04277,敢,0699,1,3,066
04233,放,0700,1,5,066
04298,數,0701,1,4,066
04368,斫,0702,1,2,069
04376,新,0703,1,4,069
04385,方,0704,1,7,070
04389,於,0705,1,79,070
04523,時,0707,1,116,072
04512,是,0710,1,96,072
04446,日,0712,1,45,072
04490,昔,0713,1,3,072
04569,智,0714,1,5,072
04480,昇,0715,1,5,072
04489,易,0716,1,4,072
04485,明,0717,1,12,072
04500,映,0718,1,3,072
04650,曰,0719,1,177,073
04657,書,0723,1,16,073
04654,更,0724,1,4,073
04667,會,0725,1,4,073
04651,曲,0726,1,4,073
04676,朋,0727,1,2,074
04699,期,0728,1,3,074
04673,月,0729,1,3,074
04674,有,0730,1,84,074
04806,果,0732,1,5,075
04693,望,0733,1,2,074
04803,林,0734,1,2,075
05471,櫛,0735,1,3,075
04984,條,0736,1,2,075
04707,木,0737,1,11,075
04922,根,0738,1,17,075
04769,杵,0739,1,19,075
05279,樂,0740,1,3,075
05080,植,0741,1,2,075
05236,槌,0742,1,5,075
04758,杪,0743,1,3,075
05381,橫,0744,1,3,075
04711,未,0745,1,6,075
04712,末,0746,1,3,075
05266,槵,0747,1,6,075
05348,橋,0748,1,7,075
04747,杜,0749,1,8,075
04713,本,0750,1,12,075
04915,𣑥,0751a,2,3,075
04915b,𣑥,0751b,2,3,075
05293,樓,0753,1,2,075
04807,枝,0754,1,2,075
05014,棄,0755,1,5,075
04723,机,0756,1,2,075
05609,歌,0757,1,13,076
05558,次,0758,1,29,076
05580,欲,0759,1,20,076
05633,歟,0760,1,10,076
05612,歎,0761,1,2,076
05649,武,0762,1,10,077
05643,正,0763,1,6,077
05644,此,0764,1,87,077
