,,smk_西夏法華,smk_西夏法華,smk_西夏法華,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
04280,散,0518,1,4,066
04298,數,0519,1,35,066
04321,文,0520,1,13,067
04373,斯,0521,1,13,069
04385,方,0522,1,52,070
04389,於,0524,1,79,070
04391,施,0526,1,13,070
04442,旣,0527,1,2,071
04446,日,0528,1,17,072
04453,旬,0529,1,2,072
04485,明,0530,1,25,072
04490,昔,0531,1,2,072
04505,昧,0532,1,10,072
04512,是,0533,1,153,072
04523,時,0537,1,58,072
04557,普,0539,1,9,072
04569,智,0540,1,30,072
04621,曇,0541,1,3,072
04650,曰,0542,1,11,073
04661,曾,0543,1,22,073
04664,最,0544,1,8,073
04667,會,0545,1,11,073
04673,月,0546,1,16,074
04674,有,0547,1,86,074
04679,服,0549,1,2,074
04707,木,0550,1,3,075
04711,未,0551,1,23,075
04713,本,0552,1,15,075
04765,東,0553,1,5,075
04803,林,0554,1,7,075
04806,果,0555,1,5,075
04807,枝,0556,1,2,075
04849,柔,0557,1,3,075
04922,根,0558,1,9,075
04993,梨,0559,1,2,075
05010,梵,0560,1,11,075
05014,棄,0561,1,2,075
05228,槃,0562,1,19,075
05279,樂,0563,1,18,075
05293,樓,0564,1,10,075
05323,樹,0565,1,2,075
05391,檀,0566,1,3,075
05558,次,0567,1,5,076
05561,欣,0568,1,3,076
05580,欲,0569,1,38,076
05641,止,0570,1,8,077
05643,正,0571,1,10,077
05644,此,0572,1,62,077
05676,歸,0574,1,2,077
05686,死,0575,1,7,078
05717,殊,0576,1,18,078
05841,比,0577,1,32,081
05867,毫,0578,1,3,082
05983,汝,0579,1,18,085
06031,沙,0580,1,15,085
06074,法,0581,1,157,085
06086,波,0585,1,7,085
06088,泥,0586,1,2,085
06189,涅,0587,1,19,085
06285,深,0588,1,27,085
06290,清,0589,1,6,085
06335,測,0590,1,3,085
06432,滅,0591,1,21,085
06476,滿,0592,1,10,085
06487,漏,0593,1,9,085
06490,演,0594,1,14,085
06517,漸,0595,1,4,085
06617,濁,0596,1,9,085
06641,濟,0597,1,2,085
06776,火,0598,1,2,086
06872,無,0599,1,149,086
06918,照,0602,1,13,086
06921,煩,0603,1,2,086
06971,燈,0604,1,15,086
07043,爾,0605,1,29,089
07180,猛,0606,1,3,094
07203,猶,0607,1,3,094
07212,獄,0608,1,3,094
07230,獨,0609,1,2,094
07262,王,0610,1,55,096
07291,珠,0612,1,5,096
07304,現,0613,1,21,096
07308,琉,0614,1,3,096
07346,瑞,0615,1,7,096
07366,璃,0616,1,3,096
07457,甚,0617,1,11,099
07461,生,0618,1,72,100
07479,由,0620,1,4,102
07483,男,0621,1,3,102
07501,界,0622,1,17,102
07503,畏,0623,1,5,102
07535,當,0624,1,44,102
07559,疑,0625,1,16,103
07598,病,0626,1,2,104
07685,癡,0627,1,3,104
07707,發,0628,1,6,105
07709,白,0629,1,9,106
07710,百,0630,1,24,106
07759,益,0631,1,3,108
07779,盡,0632,1,17,108
07790,目,0633,1,2,109
07796,盲,0634,1,2,109
07799,直,0635,1,2,109
07801,相,0636,1,32,109
07813,眉,0637,1,5,109
07827,眞,0638,1,5,109
07839,眷,0639,1,14,109
07843,眼,0640,1,2,109
07907,瞻,0641,1,4,109
M23523,睺,0642,1,5,109
07941,知,0643,1,58,111
07986,破,0645,1,3,112
08097,示,0646,1,12,113
08107,祇,0647,1,3,113
08124,神,0648,1,14,113
08148,福,0649,1,6,113
08162,禪,0650,1,6,113
08165,禮,0651,1,4,113
08244,種,0652,1,64,115
08248,稱,0654,1,9,115
08269,積,0655,1,3,115
08293,究,0656,1,8,116
08296,空,0657,1,2,116
08354,立,0658,1,2,117
08365,竟,0659,1,7,117
08371,童,0660,1,2,117
08382,竹,0661,1,2,118
08412,第,0662,1,11,118
08426,等,0663,1,56,118
08437,答,0665,1,2,118
08685,精,0666,1,8,119
08753,純,0667,1,2,120
08795,終,0668,1,2,120
08807,結,0669,1,3,120
08856,經,0670,1,23,120
08885,網,0671,1,2,120
08906,緊,0672,1,8,120
09085,缺,0673,1,2,121
09144,羅,0674,1,70,122
09155,美,0676,1,2,123
09177,義,0677,1,24,123
09214,習,0678,1,3,124
09250,老,0679,1,2,125
09255,者,0680,1,47,125
09264,而,0681,1,42,126
09286,耨,0682,1,5,127
09292,耶,0683,1,2,128
09308,聖,0684,1,9,128
09315,聞,0685,1,44,128
09328,聲,0686,1,12,128
09429,能,0687,1,34,130
09463,脱,0688,1,8,130
09602,自,0689,1,28,132
09610,至,0690,1,14,133
09629,與,0691,1,19,134
09638,舍,0692,1,60,135
09665,般,0694,1,2,137
09716,色,0695,1,3,139
09788,若,0696,1,45,140
09789,苦,0697,1,15,140
09919,菩,0698,1,84,140
09921,華,0700,1,25,140
09954,萬,0701,1,33,140
09966,葉,0702,1,6,140
09972,著,0703,1,13,140
10040,蓋,0704,1,2,140
10050,蓮,0705,1,3,140
10139,薄,0706,1,2,140
10163,薩,0707,1,82,140
10164,薪,0709,1,2,140
10192,藐,0710,1,6,140
10204,藥,0711,1,2,140
10270,處,0712,1,11,141
10272,虛,0713,1,4,141
10276,號,0714,1,11,141
10414,蜜,0715,1,3,142
10521,螺,0716,1,2,142
10614,行,0717,1,28,144
10637,衣,0718,1,2,145
10822,要,0719,1,3,146
10831,見,0720,1,73,147
10848,親,0722,1,3,147
10856,覺,0723,1,3,147
10875,解,0724,1,19,148
10890,言,0725,1,30,149
10914,記,0726,1,5,149
10928,設,0727,1,2,149
10936,訶,0728,1,13,149
10967,詞,0729,1,8,149
11008,誓,0730,1,2,149
11017,語,0731,1,7,149
11023,誦,0732,1,4,149
11025,虔,0733,1,132,149
11028,誰,0736,1,3,149
11072,諦,0737,1,2,149
11085,諸,0738,1,210,149
11095,謂,0743,1,7,149
11119,講,0744,1,2,149
11155,證,0745,1,4,149
11189,譬,0746,1,11,149
11195,議,0747,1,4,149
11207,讀,0748,1,2,149
11229,讚,0749,1,9,149
11253,豈,0750,1,2,151
11329,貞,0751,1,2,154
11342,貪,0752,1,7,154
11495,足,0753,1,16,157
11502,趺,0754,1,3,157
11515,跋,0755,1,2,157
11715,身,0756,1,21,158
11740,車,0757,1,2,159
11763,軟,0758,1,4,159
11826,輩,0759,1,2,159
11827,輪,0760,1,7,159
11856,轉,0761,1,9,159
11898,辟,0762,1,7,160
11918,辱,0763,1,3,161
11948,近,0764,1,3,162
11960,迦,0765,1,15,162
11974,迷,0766,1,2,162
11982,退,0767,1,6,162
12000,通,0768,1,8,162
12019,逮,0769,1,2,162
12022,進,0770,1,8,162
12040,遇,0771,1,4,162
12046,過,0772,1,12,162
12051,道,0773,1,76,162
12052,達,0775,1,4,162
12070,遠,0776,1,4,162
12115,邊,0777,1,2,162
12134,那,0778,1,13,163
12139,邪,0779,1,2,163
12176,部,0780,1,3,163
12371,釋,0781,1,4,165
12373,重,0782,1,14,166
12376,量,0783,1,55,166
12380,金,0785,1,6,167
12406,鈍,0786,1,4,167
12440,鉢,0787,1,2,167
12451,銀,0788,1,2,167
12453,銅,0789,1,2,167
12698,長,0790,1,3,168
12709,門,0791,1,5,169
12716,開,0792,1,5,169
12722,閑,0793,1,2,169
12774,闍,0794,1,3,169
12800,闥,0795,1,9,169
12830,阿,0796,1,35,170
12831,陀,0797,1,17,170
12855,除,0798,1,9,170
12864,陳,0799,1,2,170
12935,隱,0800,1,3,170
13001,離,0801,1,5,172
13012,雨,0802,1,8,173
13036,震,0803,1,4,173
13104,非,0804,1,10,175
13107,靡,0805,1,2,175
13281,音,0806,1,11,180
13302,順,0807,1,4,181
13325,頗,0808,1,3,181
13346,頭,0809,1,2,181
13391,願,0810,1,16,181
13398,類,0811,1,6,181
13503,食,0812,1,2,184
13542,飾,0813,1,6,184
13551,養,0814a,2,21,184
13551b,養,0814b,2,1,184
13565,餘,0815,1,14,184
13641,饒,0816,1,3,184
13667,香,0817,1,4,186
13708,駄,0818,1,2,187
13845,驕,0819,1,4,187
13852,驚,0820,1,2,187
13934,體,0821,1,2,188
13940,高,0822,1,2,189
14061,鬼,0823,1,4,194
14379,鳴,0824,1,2,196
14720,默,0825,1,2,203
14775,鼓,0826,1,4,207
14809,鼻,0827,1,2,209
14876,龍,0828,1,20,212
00025,世,0829a,2,86,001
00025b,世,0829b,2,1,001
00128,事,0831a,2,19,006
00128b,事,0831b,2,1,006
00175,今,0832a,2,36,009
00175b,今,0832b,2,1,009
00282,來,0833a,2,27,009
00282b,來,0833b,2,1,009
00406,偈,0834a,2,9,009
00406b,偈,0834b,2,1,009
00489,像,0835a,2,8,009
00489b,像,0835b,2,1,009
00900,勤,0836a,2,1,019
00900b,勤,0836b,2,1,019
01108,又,0837a,2,26,029
01108b,又,0837b,2,1,029
01816,塔,0838a,2,8,032
01816b,塔,0838b,2,3,032
01961,夷,0839a,2,5,037
01961b,夷,0839b,2,2,037
03159,復,0840a,2,28,060
03159b,復,0840b,2,1,060
03165,微,0841a,2,8,060
03165b,微,0841b,2,4,060
03312,悉,0842a,2,10,061
03312b,悉,0842b,2,1,061
03372,惱,0843a,2,3,061
03372b,惱,0843b,2,2,061
03585,懷,0844a,2,3,061
03585b,懷,0844b,2,1,061
04261,教,0845a,2,15,066
04261b,教,0845b,2,2,066
04286,敬,0846a,2,10,066
04286b,敬,0846b,2,2,066
04296,敷,0847a,2,2,066
04296b,敷,0847b,2,1,066
04381,斷,0848a,2,3,069
04381b,斷,0848b,2,1,069
04660,曼,0849a,2,10,073
04660b,曼,0849b,2,1,073
04918,栴,0850a,2,2,075
04918b,栴,0850b,2,1,075
05152,業,0851a,2,3,075
05152b,業,0851b,2,2,075
05612,歎,0852a,2,7,076
05612b,歎,0852b,2,2,076
05639,歡,0853a,2,8,076
05639b,歡,0853b,2,6,076
05964,求,0854a,2,33,085
05964b,求,0854b,2,1,085
06003,決,0855a,2,3,085
06003b,決,0855b,2,2,085
06272,淨,0856,1,17,085
06499,漢,0857a,2,7,085
06499b,漢,0857b,2,3,085
06885,然,0858a,2,9,086
06885b,然,0858b,2,1,086
07032,爲,0859a,2,45,087
07032b,爲,0859b,2,18,087
07342,瑙,0861a,2,1,096
07342b,瑙,0861b,2,1,096
07353,瑪,0862a,2,1,096
07353b,瑪,0862b,2,1,096
07525,畫,0863a,2,3,102
07525b,畫,0863b,2,1,102
07530,異,0864a,2,5,102
07530b,異,0864b,2,1,102
07717,皆,0865a,2,27,106
07717b,皆,0865b,2,25,106
07844,眾,0867a,2,121,109
07844b,眾,0867b,2,1,109
08000,硨,0870a,2,1,112
08000b,硨,0870b,2,1,112
08060,磲,0871a,2,1,112
08060b,磲,0871b,2,1,112
08924,緣,0872a,2,32,120
08924b,緣,0872b,2,1,120
09335,聽,0873a,2,7,128
09335b,聽,0873b,2,1,128
09462,脩,0874a,2,11,130
09462b,脩,0874b,2,9,130
10191,藏,0875a,2,4,140
10191b,藏,0875b,2,1,140
10859,觀,0876a,2,6,147
10859b,觀,0876b,2,1,147
11049,請,0877a,2,1,149
11049b,請,0877b,2,1,149
11200,護,0878a,2,5,149
11200b,護,0878b,2,2,149
11461,起,0879a,2,11,156
