カード番号,文字,字体数,用例数1,用例数2,用例数3,大字典番号,部首番号,
0669,教,1,12,,,04261,066,
0670,放,1,5,,,04233,066,
0671,新,1,3,,,04376,069,
0672,方,1,7,,,04385,070,
0673,既,1,11,,,04442,071,
0674,明,1,13,,,04485,072,
0675,昔,1,2,,,04490,072,
0676,智,1,5,,,04569,072,
0677,昇,1,4,,,04480,072,
0678,易,1,4,,,04489,072,
0679-0681,時,1,104,,,04523,072,
0682,映,1,3,,,04500,072,
0683-0684,是,1,84,,,04512,072,
0685,日,1,39,,,04446,072,
0686-0689,曰,1,162,,,04650,073,
0690,曾,1,2,,,04661,073,
0691,更,1,2,,,04654,073,
0692,曲,1,4,,,04651,073,
0693,會,1,2,,,04667,073,
0694,書,1,17,,,04657,073,
0695,月,1,3,,,04673,074,
0696-0697,有,1,80,,,04674,074,
0698,望,1,2,,,04693,074,
0699,期,1,3,,,04699,074,
0700,枝,1,2,,,04807,075,
0701,樓,1,2,,,05293,075,
0702,棄,1,5,,,05014,075,
0703,櫛,1,3,,,05471,075,
0704,根,1,12,,,04922,075,
0705,机,1,2,,,04723,075,
0706,04915,1,5,,,04915,075,
0707,本,1,12,,,04713,075,
0708,杵,1,17,,,04769,075,
0709,木,1,9,,,04707,075,
0710,未,1,6,,,04711,075,
0711,末,1,3,,,04712,075,
0712,樹,1,17,,,05323,075,
0713,果,1,5,,,04806,075,
0714,杜,1,5,,,04747,075,
0715,橋,1,7,,,05348,075,
0716,林,1,2,,,04803,075,
0717,槌,1,4,,,05236,075,
0718,05266,1,5,,,05266,075,
0719,歌,1,13,,,05609,076,
0720,次,1,28,,,05558,076,
0721,歎,1,3,,,05612,076,
0722,欲,1,16,,,05580,076,
0723,武,1,8,,,05649,077,
0724,死,1,3,,,05686,078,
0725,殿,1,4,,,05809,079,
0726,母,1,10,,,05834,080,
0727,毎,1,2,,,05836,080,
0728,比,1,5,,,05841,081,
0729,毘,1,2,,,05845,081,
0730,毛,1,5,,,05850,082,
0731,民,1,2,,,05935,083,
0732,渚,1,3,,,06312,085,
0733,浮,1,8,,,06175,085,
0734,湯,1,5,,,06381,085,
0735,治,1,9,,,06055,085,
0736,滅,1,2,,,06432,085,
0737,汝,1,46,,,05983,085,
0738,波,1,12,,,06086,085,
0739,溢,1,5,,,06408,085,
0740,津,1,39,,,06128,085,
0741,溺,1,8,,,06422,085,
0742,滿,1,7,,,06476,085,
0743-0744,海,1,72,,,06182,085,
0745,汀,1,5,,,05962,085,
0746,沒,1,5,,,06023,085,
0747,水,1,6,,,05952,085,
0748,活,1,3,,,06145,085,
0749,添,1,2,,,06294,085,
0750,瀬,1,7,,,06713,085,
0751,漬,1,3,,,06507,085,
0752,涸,1,10,,,06227,085,
0753,汲,1,5,,,05996,085,
0754,潮,1,23,,,06554,085,
0755,濱,1,8,,,06658,085,
0756,浪,1,2,,,06173,085,
0757,永,1,4,,,05957,085,
0758,深,1,3,,,06285,085,
0759,求,1,3,,,05964,085,
0760,河,1,2,,,06045,085,
0761,濤,1,3,,,06645,085,
0762,渉,1,2,,,06193,085,
0763,法,1,2,,,06074,085,
0764,瀲,1,7,,,06723,085,
0765,06150,1,2,,,06150,085,
0766,洲,1,2,,,06138,085,
0767,06947,1,2,,,06947,086,
0768,焔,1,2,,,06882,086,
0769-0771,火,1,111,,,06776,086,
0772,無,1,20,,,06872,086,
0773,然,1,16,,,06885,086,
0774,焚,1,2,,,06867,086,
0775,炎,1,3,,,06801,086,
0776,父,1,10,,,07035,088,
0777,00260,1,2,,,00260,009,
0778,壯,1,3,,,01905,033,
0779,物,1,5,,,07080,093,
0780,状,1,6,,,07122,094,
0781,狗,1,2,,,07139,094,
0782,獸,1,3,,,07248,094,
0783,狹,1,17,,,07162,094,
0784,獲,1,2,,,07241,094,
0785,獨,1,2,,,07230,094,
0786,07189,1,5,,,07189,094,
0787,猶,1,9,,,07203,094,
0788,玲,1,2,,,07275,096,
0789,瓊,1,35,,,07394,096,
0790,瓏,1,2,,,07395,096,
0791,玉,1,49,,,07261,096,
0792,王,1,7,,,07262,096,
0793,理,1,2,,,07307,096,
0794,瑞,1,2,,,07346,096,
0795,甕,1,3,,,07452,098,
0796,甚,1,5,,,07457,099,
0797,産,1,30,,,07464,100,
0798,生,1,40,,,07461,100,
0799,用,1,6,,,07469,101,
0800,田,1,33,,,07478,102,
0801,男,1,3,,,07483,102,
0802,留,1,8,,,07508,102,
0803,由,1,3,,,07479,102,
0804,疑,1,5,,,07559,103,
0805,疾,1,4,,,07591,104,
0806,癡,1,2,,,07685,104,
0807,祭,1,2,,,08135,113,
0808,百,1,8,,,07710,106,
0809,白,1,6,,,07709,106,
0810,皆,1,6,,,07717,106,
0811,盛,1,5,,,07770,108,
0812,盧,1,2,,,07785,108,
0813,盡,1,3,,,07779,108,
0814,益,1,3,,,07759,108,
0815,目,1,13,,,07790,109,
0816,盾,2,1,1,,07806,109,
