統合ID,文字,華嚴信種,字体数,用例数,部首
01111,及,0300,1,5,029
01127,取,0301,1,7,029
01143,句,0302,1,2,030
01147,只,0303,1,2,030
01154,可,0304,1,21,030
01170,合,0305,1,3,030
01174,同,0306,1,40,030
01175,名,0307,1,23,030
01179,向,0308,1,8,030
01197,含,0309,1,3,030
01219,告,0310,1,2,030
01235,周,0311,1,3,030
01296,品,0312,1,5,030
01349,唯,0313,1,11,030
01369,問,0314,1,31,030
01395,善,0315,1,19,030
01412,喜,0316,1,2,030
01581,嚴,0317,1,5,030
01607,四,0318,1,15,031
01611,因,0319,1,32,031
01627,固,0320,1,15,031
01639,國,0321,1,4,031
01659,在,0322,1,12,032
01666,地,0323,1,27,032
01740,城,0324,1,3,032
01755,執,0325,1,3,032
01767,堅,0326,1,3,032
01796,報,0327,1,7,032
01831,塵,0328,1,6,032
01839,境,0329,1,15,032
01934,外,0330,1,3,036
01938,多,0331,1,10,036
01943,夢,0332,1,2,036
01946,大,0333,1,66,037
01947,天,0335,1,16,037
01949,夫,0336,1,27,037
01957,失,0337,1,3,037
02029,好,0338,1,2,038
02031,如,0339,1,121,038
02045,妙,0342,1,9,038
02069,始,0343,1,7,038
02262,子,0344,1,10,039
02268,存,0345,1,2,039
02293,學,0346,1,3,039
02322,宗,0347,1,3,040
02325,定,0348,1,8,040
02349,家,0349,1,10,040
02352,容,0350,1,2,040
02390,實,0351,1,16,040
02407,寶,0352,1,3,040
02426,專,0353,1,4,041
02439,小,0354,1,4,042
02440,少,0355,1,5,042
02446,尚,0356,1,4,042
02464,就,0357,1,9,043
02473,尼,0358,1,2,044
02515,屬,0359,1,6,044
02528,山,0360,1,2,046
02775,巧,0361,1,2,048
02780,差,0362,1,11,048
02782,己,0363,1,3,049
02783,已,0364,1,12,049
02835,師,0365,1,2,050
02847,常,0366,1,3,050
02899,平,0367,1,2,051
02907,幻,0368,1,3,052
02944,度,0369,1,2,053
02993,廣,0370,1,21,053
03008,廻,0371,1,3,054
03052,弟,0372,1,2,057
03124,彼,0373,1,9,060
03128,往,0374,1,7,060
03138,後,0375,1,7,060
03151,從,0376,1,28,060
03159,復,0377,1,2,060
03165,微,0378,1,2,060
03172,德,0379,1,49,060
03173,徹,0380,1,2,060
03179,心,0381,1,74,061
03180,必,0383,1,14,061
03214,念,0384,1,6,061
03239,思,0385,1,8,061
03244,性,0386,1,39,061
03298,息,0387,1,3,061
03312,悉,0388,1,7,061
03326,悟,0389,1,6,061
03335,悲,0390,1,14,061
03348,情,0391,1,2,061
03355,惑,0392,1,2,061
03366,惠,0393,1,16,061
03367,惡,0394,1,11,061
03372,惱,0395,1,6,061
03395,意,0396,1,9,061
03409,感,0397,1,2,061
03439,慈,0398,1,6,061
03466,慮,0399,1,4,061
03550,應,0400,1,5,061
03610,成,0401,1,55,062
03611,我,0403a,2,15,062
03611b,我,0403b,2,1,062
03617,或,0404,1,4,062
03835,捨,0405,1,3,064
03855,授,0406,1,2,064
04192,攝,0407,1,4,064
04233,放,0408,1,8,066
04243,故,0409,1,74,066
04261,教,0411,1,34,066
04263,救,0412,1,3,066
04319,變,0413,1,3,066
04321,文,0414,1,14,067
05561,欣,0415,1,2,076
04381,斷,0416,1,3,069
04385,方,0417,1,29,070
04391,施,0418,1,3,070
04485,明,0419,1,27,072
04489,易,0420,1,5,072
04490,昔,0421,1,3,072
04505,昧,0422,1,3,072
04523,時,0423,1,22,072
04557,普,0424,1,6,072
04569,智,0425,1,93,072
04650,曰,0427,1,36,073
04661,曾,0428,1,2,073
04664,最,0429,1,3,073
04667,會,0430,1,3,073
04674,有,0431,1,68,074
04699,期,0433,1,2,074
04711,未,0434,1,20,075
04713,本,0435,1,14,075
04806,果,0436,1,59,075
04807,枝,0438,1,3,075
04922,根,0439,1,14,075
05010,梵,0440,1,2,075
05152,業,0441,1,14,075
05161,極,0442,1,4,075
05228,槃,0443,1,4,075
05279,樂,0444,1,11,075
05323,樹,0445,1,2,075
05368,機,0446,1,2,075
05529,權,0447,1,6,075
05558,次,0448,1,7,076
05641,止,0449,1,5,077
05644,此,0450,1,96,077
05645,步,0452,1,2,077
05676,歸,0453,1,5,077
05686,死,0454,1,5,078
05717,殊,0455,1,9,078
05964,求,0456,1,7,085
06003,決,0457,1,3,085
06023,沒,0458,1,2,085
06055,治,0459,1,3,085
06058,況,0460,1,4,085
06074,法,0461,1,90,085
06086,波,0463,1,2,085
06151,流,0464,1,5,085
06292,淺,0465,1,2,085
06182,海,0466,1,6,085
06189,涅,0467,1,4,085
06285,深,0468,1,48,085
06432,滅,0469,1,11,085
06476,滿,0470,1,8,085
06487,漏,0471,1,5,085
06517,漸,0472,1,9,085
06776,火,0473,1,2,086
06885,然,0474,1,7,086
06918,照,0475,1,6,086
06921,煩,0476,1,6,086
06941,熏,0477,1,2,086
06949,熟,0478,1,3,086
07032,爲,0479,1,68,087
07043,爾,0481,1,4,089
07080,物,0482,1,2,093
07203,猶,0483,1,6,094
07212,獄,0484,1,2,094
07259,率,0485,1,3,095
07262,王,0486,1,13,096
07304,現,0487,1,9,096
07307,理,0488,1,28,096
07457,甚,0489,1,18,099
07461,生,0490,1,84,100
07469,用,0492,1,12,101
07520,畢,0493,1,4,102
07530,異,0494,1,7,102
07535,當,0495,1,19,102
07559,疑,0496,1,2,103
07591,疾,0497,1,3,104
07706,登,0498,1,3,105
07707,發,0499,1,31,105
07710,百,0500,1,2,106
07717,皆,0501,1,23,106
07759,益,0502,1,21,108
07779,盡,0503,1,8,108
07844,眾,0504,1,39,109
07941,知,0505,1,26,111
07799,直,0506,1,6,109
07801,相,0507,1,37,109
07813,眉,0508,1,2,109
07827,眞,0509,1,7,109
07839,眷,0510,1,2,109
08097,示,0511,1,4,113
08124,神,0512,1,13,113
08148,福,0513,1,6,113
08212,移,0514,1,2,115
08244,種,0515,1,29,115
08269,積,0516,1,2,115
08279,穢,0517,1,3,115
08296,空,0518,1,11,116
08354,立,0519,1,8,117
08365,竟,0520,1,11,117
08412,第,0521,1,39,118
08426,等,0522,1,22,118
08437,答,0523,1,30,118
08685,精,0524,1,6,119
08760,紛,0525,1,4,120
08795,終,0526,1,13,120
08856,經,0527,1,17,120
08809,絶,0528,1,5,120
08924,緣,0529,1,26,120
08993,總,0530,1,9,120
09144,羅,0531,1,2,122
09177,義,0532,1,25,123
09214,習,0533,1,6,124
09255,者,0534,1,56,125
09264,而,0536,1,6,126
09292,耶,0537,1,25,128
09308,聖,0538,1,11,128
09315,聞,0539,1,21,128
09429,能,0540,1,5,130
09462,脩,0541,1,37,130
09463,脱,0542,1,2,130
09602,自,0543,1,30,132
09610,至,0544,1,12,133
09611,致,0545,1,3,133
09629,與,0546,1,13,134
09630,興,0547,1,2,134
09632,擧,0548,1,3,134
09716,色,0549,1,6,139
09788,若,0550,1,26,140
09789,苦,0551,1,9,140
09869,莊,0552,1,2,140
09919,菩,0553,1,23,140
09921,華,0554,1,9,140
09954,萬,0555,1,4,140
10008,蒙,0556,1,3,140
10050,蓮,0557,1,2,140
10191,藏,0558,1,4,140
10163,薩,0559,1,14,140
10270,處,0560,1,3,141
10272,虛,0561,1,6,141
10614,行,0562,1,75,144
10643,表,0564,1,3,145
10822,要,0565,1,3,146
10826,覆,0566,1,2,146
10831,見,0567,1,45,147
10848,親,0568,1,2,147
10856,覺,0569,1,11,147
10859,觀,0570,1,5,147
10875,解,0571,1,16,148
10887,觸,0572,1,5,148
10890,言,0573,1,9,149
10896,計,0574,1,3,149
10928,設,0575,1,16,149
11025,説,0576,1,30,149
11046,談,0577,1,2,149
11058,論,0578,1,16,149
11072,諦,0579,1,2,149
11085,諸,0580,1,51,149
11095,謂,0582,1,7,149
11155,證,0583,1,14,149
11171,識,0584,1,6,149
11200,護,0585,1,4,149
11253,豈,0586,1,4,151
11334,財,0587,1,3,154
11397,賢,0589,1,7,154
11461,起,0590,1,32,156
11485,趣,0591,1,3,156
11976,迹,0592,1,2,162
11715,身,0593,1,30,158
11744,軌,0594,1,2,159
11827,輪,0595,1,8,159
11856,轉,0596,1,4,159
11948,近,0597,1,3,162
11974,迷,0598,1,5,162
11982,退,0599,1,11,162
11995,途,0600,1,2,162
12000,通,0601,1,16,162
12003,速,0602,1,3,162
12004,造,0603,1,2,162
12022,進,0604,1,9,162
12027,逸,0605,1,2,162
12040,遇,0606,1,2,162
03157,徧,0607,1,6,060
12051,道,0608,1,12,162
12070,遠,0609,1,3,162
12097,遺,0610,1,3,162
12108,還,0611,1,5,162
12115,邊,0612,1,3,162
12139,邪,0613,1,3,163
12188,都,0614,1,2,163
12371,釋,0615,1,7,165
12373,重,0616,1,8,166
12376,量,0617,1,5,166
12380,金,0618,1,6,167
12406,鈍,0619,1,3,167
12473,銷,0620,1,3,167
12698,長,0621,1,3,168
12709,門,0622,1,13,169
12716,開,0623,1,2,169
12724,間,0624,1,4,169
12783,闕,0625,1,3,169
12839,限,0626,1,2,170
12855,除,0627,1,2,170
12914,障,0628,1,3,170
12927,隨,0629,1,7,170
13001,離,0630,1,8,172
13002,難,0631,1,15,172
13104,非,0632,1,6,175
13281,音,0633,1,2,180
13302,順,0634,1,7,181
13304,須,0635,1,6,181
13316,頓,0636,1,4,181
13398,類,0637,1,7,181
13391,願,0638,1,8,181
13416,顯,0639,1,4,181
13551,養,0640,1,4,184
13565,餘,0641,1,8,184
13661,首,0642,1,2,185
13682,馮,0643,1,4,187
13934,體,0644,1,17,188
14775,鼓,0645,1,3,207
14828,齊,0646,1,8,210
14876,龍,0647,1,2,212
00175,今,0648a,2,3,009
00175b,今,0648b,2,2,009
00865,劫,0649a,2,2,019
00865b,劫,0649b,2,1,019
01645,圓,0650a,2,2,031
01645b,圓,0650b,2,1,031
03145,得,0651a,2,64,060
03145b,得,0651b,2,4,060
03647,所,0653a,2,37,063
03647b,所,0653b,2,9,063
03896,提,0654a,2,5,064
03896b,提,0654b,2,4,064
04389,於,0655a,2,28,070
04389b,於,0655b,2,4,070
04512,是,0656a,2,53,072
04512b,是,0656b,2,17,072
05643,正,0658a,2,31,077
05643b,正,0658b,2,3,077
06272,淨,0659a,2,4,085
06272b,淨,0659b,2,3,085
06872,無,0660a,2,96,086
06872b,無,0660b,2,1,086
07501,界,0662a,2,19,102
07501b,界,0662b,2,2,102
08293,究,0663a,2,4,116
08293b,究,0663b,2,2,116
09328,聲,0664a,2,2,128
09328b,聲,0664b,2,1,128
11495,足,0665a,2,7,157
11495b,足,0665b,2,1,157
12991,雖,0666a,2,17,172
12991b,雖,0666b,2,10,172
S00066,々,0667,〓,17,000
