大字典番号,JIS,カード番号,字体数,用例数,部首番号
03647,所,0267,1,64,63
03690,承,0268,1,11,64
03780,持,0269,1,4,64
03904,揚,0270,1,3,64
04009,摩,0271,1,43,64
04192,攝,0272,1,4,64
04233,放,0273,1,5,66
04243,故,0274,1,4,66
04261,教,0275,1,2,66
04280,散,0276,1,13,66
04298,數,0277,1,51,66
04319,變,0278,1,12,66
04373,斯,0279,1,2,69
04385,方,0280,1,67,70
04446,日,0281,1,2,72
04490,昔,0282,1,2,72
04505,昧,0283,1,6,72
04512,是,0284,1,57,72
04523,時,0285,1,21,72
04557,普,0286,1,78,72
04569,智,0287,1,33,72
04636,曜,0288,1,7,72
04650,曰,0289,1,6,73
04667,會,0290,1,18,73
04674,有,0291,1,62,74
04711,未,0292,1,3,75
04765,東,0293,1,2,75
05323,樹,0294,1,9,75
05391,檀,0295,1,3,75
05558,次,0296,1,6,76
05580,欲,0297,1,3,76
05644,此,0298,1,25,77
05692,歿,0299,1,2,78
05717,殊,0300,1,2,78
05845,毘,0301,1,6,81
05850,毛,0302,1,12,82
05957,永,0303,1,3,85
05983,汝,0304,1,3,85
06055,治,0305,1,3,85
06074,法,0306,1,119,85
06086,波,0307,1,4,85
06175,浮,0308,1,2,85
06182,海,0309,1,112,85
06285,深,0310,1,11,85
06290,清,0311,1,12,85
06335,測,0312,1,2,85
06432,滅,0313,1,17,85
06476,滿,0314,1,30,85
06490,演,0315,1,23,85
06872,無,0316,1,107,86
06882,焔,0317,1,22,86
06885,然,0318,1,6,86
06918,照,0319,1,16,86
06971,燈,0320,1,5,86
06978,燒,0321,1,2,86
07032,爲,0322,1,27,87
07043,爾,0323,1,17,89
07241,獲,0324,1,4,94
07262,王,0325,1,23,96
07291,珠,0326,1,2,96
07304,現,0327,1,130,96
07307,理,0328,1,2,96
07457,甚,0329,1,3,99
07461,生,0330,1,72,100
07501,界,0331,1,99,102
07503,畏,0332,1,2,102
07535,當,0333,1,2,102
07559,疑,0334,1,3,103
07707,發,0335,1,5,105
07717,皆,0336,1,25,106
07759,益,0337,1,2,108
07779,盡,0338,1,14,108
07785,盧,0339,1,6,108
07801,相,0340,1,19,109
07827,眞,0341,1,7,109
07843,眼,0342,1,6,109
07844,衆,0343,1,115,109
07907,瞻,0344,1,2,109
07941,知,0345,1,14,111
08077,礙,0346,1,11,112
08097,示,0347,1,19,113
08124,神,0348,1,43,113
08165,禮,0349,1,9,113
08244,種,0350,1,100,115
08248,稱,0351,1,5,115
08296,空,0352,1,19,116
08354,立,0353,1,5,117
08426,等,0354,1,23,118
08685,精,0355,1,2,119
08807,結,0356,1,6,120
08856,經,0357,1,3,120
08885,網,0358,1,6,120
09144,羅,0359,1,4,122
09175,羣,0360,1,3,123
09255,者,0361,1,12,125
09264,而,0362,1,44,126
09290,耳,0363,1,2,128
09315,聞,0364,1,8,128
09328,聲,0365,1,14,128
09335,聴,0366,1,2,128
09429,能,0367,1,48,130
09462,脩,0368,1,16,130
09463,脱,0369,1,7,130
09602,自,0370,1,7,132
09610,至,0371,1,3,133
09630,興,0372,1,2,134
09636,舌,0373,1,2,135
09716,色,0374,1,16,139
09788,若,0375,1,4,140
09789,苦,0376,1,3,140
