統合ID,文字,和寧花67,字体数,用例数,部首
06432,滅,0610,1,13,085
06476,滿,0611,1,13,085
06490,演,0612,1,6,085
06517,漸,0613,1,10,085
06553,潤,0614,1,2,085
06603,澤,0615,1,2,085
06617,濁,0616,1,2,085
06641,濟,0617,1,3,085
06776,火,0618,1,5,086
06872,無,0619,1,102,086
06885,然,0622,1,3,086
06918,照,0623,1,14,086
06921,煩,0624,1,12,086
06941,熏,0625,1,8,086
06949,熟,0626,1,3,086
06978,燒,0627,1,11,086
07032,爲,0628,1,137,087
07043,爾,0631,1,12,089
07080,物,0632,1,4,093
07180,猛,0633,1,2,094
07203,猶,0634,1,10,094
07212,獄,0635,1,6,094
07230,獨,0636,1,2,094
07241,獲,0637,1,3,094
07259,率,0638,1,6,095
07262,王,0639,1,53,096
07290,珞,0641,1,2,096
07304,現,0642,1,31,096
07348,瑠,0643,1,2,096
07366,璃,0644,1,2,096
07397,瓔,0645,1,2,096
07457,甚,0646,1,2,099
07461,生,0647,1,156,100
07469,用,0651,1,4,101
07479,由,0652,1,6,102
07481,申,0653,1,7,102
07483,男,0654,1,65,102
07501,界,0656,1,39,102
07503,畏,0657,1,5,102
07513,畜,0658,1,5,102
07520,畢,0659,1,2,102
07591,疾,0660,1,4,104
07598,病,0661,1,2,104
07709,白,0662,1,4,106
07710,百,0663,1,10,106
07717,皆,0664,1,35,106
07759,益,0665,1,10,108
07771,盜,0666,1,2,108
07779,盡,0667,1,5,108
07785,盧,0668,1,5,108
07799,直,0669,1,2,109
07801,相,0670,1,14,109
07827,眞,0671,1,2,109
07843,眼,0672,1,6,109
07844,眾,0673,1,132,109
07907,瞻,0676,1,6,109
M23523,睺,0677,1,6,109
07941,知,0678,1,62,111
07986,破,0680,1,4,112
08077,礙,0681,1,13,112
08097,示,0682,1,27,113
08124,神,0683,1,22,113
08165,禮,0684,1,13,113
08239,稠,0685,1,2,115
08244,種,0686,1,59,115
08248,稱,0688,1,3,115
08269,積,0689,1,3,115
08279,穢,0690,1,2,115
08293,究,0691,1,2,116
08296,空,0692,1,5,116
08329,窮,0693,1,2,116
08354,立,0694,1,2,117
08365,竟,0695,1,3,117
08371,童,0696,1,23,117
08375,竭,0697,1,3,117
08376,端,0698,1,3,117
08380,競,0699,1,2,117
08412,第,0700,1,10,118
08426,等,0701,1,25,118
08685,精,0702,1,3,119
08788,紺,0703,1,2,120
08807,結,0704,1,2,120
08856,經,0705,1,5,120
08885,網,0706,1,9,120
08906,緊,0707,1,5,120
08924,緣,0708,1,2,120
08993,總,0709,1,2,120
09011,繒,0710,1,2,120
09020,繞,0711a,2,12,120
09020b,繞,0711b,2,1,120
09144,羅,0712,1,80,122
09214,習,0714,1,3,124
09255,者,0715,1,49,125
09264,而,0716,1,72,126
09286,耨,0718,1,14,127
09308,聖,0719,1,15,128
09314,聚,0720,1,26,128
09315,聞,0721,1,20,128
09335,聽,0722,1,3,128
09395,胎,0723,1,2,130
09425,胸,0724,1,2,130
09429,能,0725,1,73,130
09463,脱,0727,1,11,130
09602,自,0728,1,22,132
09610,至,0729,1,25,133
09629,與,0730,1,11,134
09630,興,0731,1,2,134
09632,擧,0732,1,2,134
09643,舒,0733,1,3,135
09675,船,0734,1,8,137
09714,良,0735,1,2,138
09716,色,0736,1,12,139
