カード番号,文字,字体数,用例数1,用例数2,用例数3,用例数4,大字典,部首,枚数
0517,拔,1,3,,,,03750,064,1
0518,持,1,14,,,,03780,064,1
0519,捨,1,17,,,,03835,064,1
0520,掌,1,6,,,,03858,064,1
0521,推,1,2,,,,03880,064,1
0522,摧,1,2,,,,04008,064,1
0523,摩,1,32,,,,04009,064,1
0524,攝,1,6,,,,04192,064,1
0525,放,1,6,,,,04233,066,1
0526,故,1,16,,,,04243,066,1
0527,教,1,10,,,,04261,066,1
0528,救,1,4,,,,04263,066,1
0529,散,1,3,,,,04280,066,1
0530,敬,1,2,,,,04286,066,1
0531,敷,1,7,,,,04296,066,1
0532,數,1,13,,,,04298,066,1
0533,變,1,4,,,,04319,066,1
0534,斷,1,7,,,,04381,069,1
0535,方,1,38,,,,04385,070,1
0536-0537,於,1,86,,,,04389,070,2
0538,施,1,9,,,,04391,070,1
0539,旋,1,2,,,,04406,070,1
0540,日,1,12,,,,04446,072,1
0541,明,1,30,,,,04485,072,1
0542,星,1,4,,,,04499,072,1
0543,昧,1,14,,,,04505,072,1
0544,時,1,36,,,,04523,072,1
0545,晨,1,2,,,,04554,072,1
0546,普,1,47,,,,04557,072,1
0547-0548,智,1,58,,,,04569,072,2
0549,暗,1,8,,,,04591,072,1
0550,曜,1,5,,,,04636,072,1
0551,曠,1,2,,,,04640,072,1
0552,曰,1,9,,,,04650,073,1
0553,會,1,4,,,,04667,073,1
0554,月,1,4,,,,04673,074,1
0555-0556,有,1,84,,,,04674,074,2
0557,服,1,4,,,,04679,074,1
0558,未,1,8,,,,04711,075,1
0559,末,1,2,,,,04712,075,1
0560,東,1,4,,,,04765,075,1
0561,林,1,9,,,,04803,075,1
0562,果,1,4,,,,04806,075,1
0563,染,1,7,,,,04848,075,1
0564,柔,1,2,,,,04849,075,1
0565,栴,1,4,,,,04918,075,1
0566,根,1,11,,,,04922,075,1
0567,梵,1,7,,,,05010,075,1
0568,業,1,8,,,,05152,075,1
0569,樂,1,29,,,,05279,075,1
0570,樓,1,12,,,,05293,075,1
0571,樹,1,26,,,,05323,075,1
0572,檀,1,5,,,,05391,075,1
0573,次,1,7,,,,05558,076,1
0574,欲,1,29,,,,05580,076,1
0575,止,1,6,,,,05641,077,1
0576-0577,此,1,81,,,,05644,077,2
0578,歴,1,2,,,,05670,077,1
0579,死,1,10,,,,05686,078,1
0580,殊,1,2,,,,05717,078,1
0581,殿,1,2,,,,05809,079,1
0582,比,1,48,,,,05841,081,1
0583,毘,1,6,,,,05845,081,1
0584,毛,1,5,,,,05850,082,1
0585,氣,1,3,,,,05947,084,1
0586,水,1,8,,,,05952,085,1
0587,永,1,4,,,,05957,085,1
0588,求,1,11,,,,05964,085,1
0589,汝,1,14,,,,05983,085,1
0590,池,1,3,,,,05986,085,1
0591,決,1,4,,,,06003,085,1
0592,沈,1,2,,,,06015,085,1
0593,沒,1,3,,,,06023,085,1
0594,沙,1,2,,,,06031,085,1
0595,治,1,2,,,,06055,085,1
0596,泉,1,2,,,,06063,085,1
0597-0599,法,1,123,,,,06074,085,3
0600,波,1,24,,,,06086,085,1
0601,洲,1,5,,,,06138,085,1
0602,流,1,3,,,,06151,085,1
0603,浮,1,8,,,,06175,085,1
0604,海,1,45,,,,06182,085,1
0605,消,1,3,,,,06192,085,1
0606,渉,1,2,,,,06193,085,1
0607,淨,1,35,,,,06272,085,1
0608,深,1,5,,,,06285,085,1
0609,清,1,19,,,,06290,085,1
0610,滅,1,13,,,,06432,085,1
0611,滿,1,13,,,,06476,085,1
0612,演,1,6,,,,06490,085,1
0613,漸,1,10,,,,06517,085,1
0614,潤,1,2,,,,06553,085,1
0615,澤,1,2,,,,06603,085,1
0616,濁,1,2,,,,06617,085,1
0617,濟,1,3,,,,06641,085,1
0618,火,1,5,,,,06776,086,1
0619-0621,無,1,102,,,,06872,086,3
0622,然,1,3,,,,06885,086,1
0623,照,1,14,,,,06918,086,1
0624,煩,1,12,,,,06921,086,1
0625,熏,1,8,,,,06941,086,1
0626,熟,1,3,,,,06949,086,1
0627,燒,1,11,,,,06978,086,1
0628-0630,爲,1,137,,,,07032,087,3
0631,爾,1,12,,,,07043,089,1
0632,物,1,4,,,,07080,093,1
0633,猛,1,2,,,,07180,094,1
0634,猶,1,10,,,,07203,094,1
0635,獄,1,6,,,,07212,094,1
0636,獨,1,2,,,,07230,094,1
0637,獲,1,3,,,,07241,094,1
0638,率,1,6,,,,07259,095,1
0639-0640,王,1,53,,,,07262,096,2
0641,珞,1,2,,,,07290,096,1
0642,現,1,31,,,,07304,096,1
0643,瑠,1,2,,,,07348,096,1
0644,璃,1,2,,,,07366,096,1
0645,瓔,1,2,,,,07397,096,1
0646,甚,1,2,,,,07457,099,1
0647-0650,生,1,156,,,,07461,100,4
0651,用,1,4,,,,07469,101,1
0652,由,1,6,,,,07479,102,1
0653,申,1,7,,,,07481,102,1
0654-0655,男,1,65,,,,07483,102,2
0656,界,1,39,,,,07501,102,1
0657,畏,1,5,,,,07503,102,1
0658,畜,1,5,,,,07513,102,1
0659,畢,1,2,,,,07520,102,1
0660,疾,1,4,,,,07591,104,1
0661,病,1,2,,,,07598,104,1
0662,白,1,4,,,,07709,106,1
0663,百,1,10,,,,07710,106,1
0664,皆,1,35,,,,07717,106,1
0665,益,1,10,,,,07759,108,1
0666,盜,1,2,,,,07771,108,1
0667,盡,1,5,,,,07779,108,1
0668,盧,1,5,,,,07785,108,1
0669,直,1,2,,,,07799,109,1
0670,相,1,14,,,,07801,109,1
0671,眞,1,2,,,,07827,109,1
0672,眼,1,6,,,,07843,109,1
0673-0675,衆,1,132,,,,07844,109,3
0676,瞻,1,6,,,,07907,109,1
0677,M23523,1,6,,,,,109,1
0678-0679,知,1,62,,,,07941,111,2
0680,破,1,4,,,,07986,112,1
0681,礙,1,13,,,,08077,112,1
0682,示,1,27,,,,08097,113,1
0683,神,1,22,,,,08124,113,1
0684,禮,1,13,,,,08165,113,1
0685,稠,1,2,,,,08239,115,1
0686-0687,種,1,59,,,,08244,115,2
0688,稱,1,3,,,,08248,115,1
0689,積,1,3,,,,08269,115,1
0690,穢,1,2,,,,08279,115,1
0691,究,1,2,,,,08293,116,1
0692,空,1,5,,,,08296,116,1
0693,窮,1,2,,,,08329,116,1
0694,立,1,2,,,,08354,117,1
0695,竟,1,3,,,,08365,117,1
0696,童,1,23,,,,08371,117,1
0697,竭,1,3,,,,08375,117,1
0698,端,1,3,,,,08376,117,1
0699,競,1,2,,,,08380,117,1
0700,第,1,10,,,,08412,118,1
0701,等,1,25,,,,08426,118,1
0702,精,1,3,,,,08685,119,1
0703,紺,1,2,,,,08788,120,1
0704,結,1,2,,,,08807,120,1
0705,經,1,5,,,,08856,120,1
0706,網,1,9,,,,08885,120,1
0707,緊,1,5,,,,08906,120,1
0708,縁,1,2,,,,08924,120,1
0709,總,1,2,,,,08993,120,1
0710,09011,1,2,,,,09011,120,1
0711,繞,2,12,1,,,09020,120,1
0712-0713,羅,1,80,,,,09144,122,2
0714,習,1,3,,,,09214,124,1
0715,者,1,49,,,,09255,125,1
0716-0717,而,1,72,,,,09264,126,2
0718,耨,1,14,,,,09286,127,1
0719,聖,1,15,,,,09308,128,1
0720,聚,1,26,,,,09314,128,1
0721,聞,1,20,,,,09315,128,1
0722,聽,1,3,,,,09335,128,1
0723,胎,1,2,,,,09395,130,1
0724,胸,1,2,,,,09425,130,1
0725-0726,能,1,73,,,,09429,130,2
0727,脱,1,11,,,,09463,130,1
0728,自,1,22,,,,09602,132,1
0729,至,1,25,,,,09610,133,1
0730,與,1,11,,,,09629,134,1
0731,興,1,2,,,,09630,134,1
0732,擧,1,2,,,,09632,134,1
0733,舒,1,3,,,,09643,135,1
0734,船,1,8,,,,09675,137,1
0735,良,1,2,,,,09714,138,1
0736,色,1,12,,,,09716,139,1
0737,芬,1,2,,,,09753,140,1
0738,若,1,43,,,,09788,140,1
0739,苦,1,16,,,,09789,140,1
0740,莫,1,2,,,,09886,140,1
0741-0743,菩,1,144,,,,09919,140,3
0744,落,1,3,,,,09961,140,1
0745,著,1,21,,,,09972,140,1
0746,蓋,1,3,,,,10040,140,1
0747,蓮,1,4,,,,10050,140,1
0748,蔽,1,2,,,,10088,140,1
0749-0751,薩,1,134,,,,10163,140,3
0752,藏,1,25,,,,10191,140,1
0753,藐,1,14,,,,10192,140,1
0754,藝,1,2,,,,10201,140,1
0755,虚,1,3,,,,10272,141,1
0756,蜜,1,20,,,,10414,142,1
0757-0758,行,1,96,,,,10614,144,2
0759,衣,1,9,,,,10637,145,1
0760,覆,1,5,,,,10826,146,1
0761-0762,見,1,89,,,,10831,147,2
0763,親,1,2,,,,10848,147,1
0764,觀,1,17,,,,10859,147,1
0765,言,1,32,,,,10890,149,1
0766,訶,1,8,,,,10936,149,1
0767,詣,1,14,,,,10974,149,1
0768,語,1,4,,,,11017,149,1
0769,誨,1,5,,,,11024,149,1
0770,調,1,8,,,,11038,149,1
0771,論,1,2,,,,11058,149,1
