,,hod_法蔵和尚,hod_法蔵和尚,hod_法蔵和尚,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
12570,鎔,0599,0,1,167
12664,鑊,0600,0,1,167
12563,鍾,0601,0,1,167
12494,鋪,0602,0,1,167
12665,鑑,0604a,2,1,167
12665b,鑑,0604b,2,1,167
05589,欽,0605,0,1,076
12781,闓,0606,0,1,169
12722,閑,0607,0,1,169
12778,闐,0608,0,1,169
12739,閣,0609,0,1,169
12750,閭,0610,0,1,169
12790,關,0611,0,1,169
12769,闈,0612,0,1,169
12897,隓,0613,0,1,170
12854,陣,0614,0,1,170
12870,陸,0615,0,1,170
12851,陟,0616,0,1,170
12853,院,0617,0,1,170
12828,阽,0618,0,1,170
12839,限,0619,0,1,170
12945,隸,0620,0,1,171
12961,雄,0621,0,1,172
12957,雁,0622,0,1,172
02617,崔,0623,0,1,046
13088,靄,0624,0,1,173
13072,霰,0625,0,1,173
13054,霞,0626,0,1,173
13063,霧,0627,0,1,173
13052,霜,0628,0,1,173
13023,雷,0629,0,1,173
13095,青,0630,0,1,174
13114,靦,0631,0,1,176
13121,革,0632,0,1,177
13261,韞,0633,0,1,178
13293,響,0634,0,1,180
13417,顰,0635,0,1,181
13359,頻,0636,0,1,181
13354,頷,0637,0,1,181
13307,頌,0638,0,1,181
13344,頮,0639,0,1,181
13380,顏,0640,0,1,181
13641,饒,0641,0,1,184
13552,餌,0642,0,1,184
13573,餠,0643,0,1,184
13542,飾,0644,0,1,184
13773,騁,0645,0,1,187
13724,駕,0646,0,1,187
13688,馳,0647,0,1,187
13839,驅,0648,0,1,187
13852,驚,0649,0,1,187
14002,鬚,0650,0,1,190
13999,鬘,0651,0,1,190
14072,魄,0652,0,1,194
14084,魏,0653,0,1,194
14116,魯,0654,0,1,195
14366,鳩,0655,0,1,196
14378,鳳,0656,0,1,196
14473,鵝,0657,0,1,196
14379,鳴,0658,0,1,196
14446,鴻,0659,0,1,196
14393,鴃,0660,0,1,196
14655,麟,0661,0,1,198
14645,麗,0662,0,1,198
14699,黍,0663,0,1,202
14681,麻,0664,0,1,200
14698,黌,0665,0,1,201
14790,鼠,0666,0,1,208
14831,齎,0667,0,1,210
14829,齋,0668,0,1,210
14850,齡,0669,0,1,211
14887,龜,0670,0,1,213
00026,丘,0671,1,3,001
00025,世,0672,1,6,001
00013,不,0673,1,38,001
00001,一,0674,1,45,001
00020,且,0675,1,9,001
00008,上,0676,1,11,001
00004,七,0677,1,12,001
00007,三,0678,1,40,001
00009,下,0679,1,10,001
00051,中,0680,1,29,002
00070,主,0681,1,5,003
00069,丹,0682,1,2,003
00088,之,0683,1,181,004
00085,久,0687,1,5,004
00092,乎,0688,1,25,004
00102,乘,0689,1,8,004
00100,乖,0690,1,2,004
00078,乃,0691,1,22,004
00090,乍,0692,1,3,004
00107,九,0693,1,10,005
00109,也,0694,1,39,005
00128,事,0695,1,17,006
00125,了,0696,1,2,006
00134,互,0697,1,2,007
00136,井,0698,1,2,007
00135,五,0699,1,19,007
00133,云,0700,1,13,007
00129,二,0701,1,37,007
00132,于,0702,1,6,007
