統合ID,文字,P2195,字体数,用例数,部首
04243,故,0388,1,16,066
04263,救,0389,1,2,066
04280,散,0390,1,4,066
04286,敬,0391,1,3,066
04298,數,0392,1,4,066
04233,放,0393,1,3,066
04373,斯,0394,1,4,069
04385,方,0395,1,10,070
04389,於,0396,1,58,070
04391,施,0398,1,6,070
04446,日,0399,1,12,072
04485,明,0400,1,14,072
04505,昧,0401,1,7,072
04512,是,0402,1,90,072
04523,時,0404,1,29,072
04569,智,0405,1,9,072
04591,暗,0406,1,2,072
04657,書,0407,1,6,073
04660,曼,0408,1,3,073
04661,曾,0409,1,3,073
04664,最,0410,1,11,073
04673,月,0411,1,11,074
04674,有,0412,1,33,074
04679,服,0413,1,2,074
04711,未,0414,1,5,075
04712,末,0415,1,4,075
04713,本,0416,1,6,075
04803,林,0417,1,2,075
04922,根,0418,1,2,075
05010,梵,0419,1,3,075
05228,槃,0420,1,5,075
05279,樂,0421,1,4,075
05293,樓,0422,1,4,075
05323,樹,0423,1,11,075
05391,檀,0424,1,6,075
05573,欬,0425,1,2,076
05580,欲,0426,1,4,076
05639,歡,0427,1,8,076
05644,此,0428,1,47,077
05666,歳,0429,1,7,077
05686,死,0430,1,4,078
05841,比,0431,1,2,081
05850,毛,0432,1,2,082
05935,民,0433,1,2,083
05952,水,0434,1,3,085
05964,求,0435,1,4,085
05983,汝,0436,1,24,085
05986,池,0437,1,2,085
06031,沙,0438,1,4,085
06045,河,0439,1,6,085
06052,油,0440,1,10,085
06074,法,0441,1,39,085
06151,流,0442,1,4,085
06175,浮,0443,1,2,085
06182,海,0444,1,6,085
06189,涅,0445,1,4,085
06285,深,0446,1,4,085
06290,清,0447,1,3,085
06272,淨,0448,1,13,085
06432,滅,0449,1,16,085
06476,滿,0450,1,9,085
06499,漢,0451,1,2,085
06776,火,0452,1,4,086
06872,無,0453,1,52,086
06885,然,0455,1,11,086
06918,照,0456,1,4,086
06971,燈,0457,1,10,086
06978,燒,0458,1,5,086
07032,爲,0459,1,32,087
07035,父,0460,1,4,088
07043,爾,0461,1,15,089
07074,牟,0462,1,11,093
07080,物,0463,1,4,093
07203,猶,0464,1,4,094
07262,王,0465,1,32,096
07287,珍,0466,1,2,096
07290,珞,0467,1,2,096
07304,現,0468,1,13,096
07397,瓔,0469,1,3,096
07426,瓶,0470,1,2,098
07457,甚,0471,1,2,099
07461,生,0472,1,39,100
07479,由,0473,1,5,102
07483,男,0474,1,7,102
07501,界,0475,1,18,102
07520,畢,0476,1,2,102
07535,當,0477,1,24,102
07598,病,0478,1,6,104
07707,發,0479,1,5,105
07709,白,0480,1,6,106
07710,百,0481,1,19,106
07717,皆,0482,1,18,106
07759,益,0483,1,4,108
07779,盡,0484,1,8,108
07801,相,0485,1,2,109
07827,眞,0486,1,3,109
07843,眼,0487,1,2,109
07844,眾,0488,1,50,109
07907,瞻,0489,1,3,109
M23523,睺,0490,1,3,109
07941,知,0491,1,6,111
07986,破,0492,1,3,112
08097,示,0493,1,2,113
08107,祇,0494,1,6,113
08116,祕,0495,1,2,113
08124,神,0496,1,16,113
08148,福,0497,1,4,113
08165,禮,0498,1,2,113
08244,種,0499,1,10,115
08296,空,0500,1,7,116
08329,窮,0501,1,2,116
08412,第,0502,1,11,118
08426,等,0503,1,30,118
08685,精,0504,1,3,119
08778,累,0505,1,4,120
08795,終,0506,1,2,120
08856,經,0507,1,53,120
08906,緊,0509,1,3,120
09020,繞,0510,1,2,120
09144,羅,0511,1,32,122
09177,義,0512,1,3,123
09214,習,0513,1,3,124
09250,老,0514,1,2,125
09255,者,0515,1,33,125
09264,而,0516,1,21,126
09286,耨,0517,1,6,127
09308,聖,0518,1,2,128
09315,聞,0519,1,25,128
09328,聲,0520,1,16,128
09429,能,0521,1,30,130
09462,脩,0522,1,11,130
09568,臂,0523,1,5,130
09602,自,0524,1,9,132
09610,至,0525,1,7,133
09617,臺,0526,1,6,133
09629,與,0527,1,2,134
09636,舌,0528,1,4,135
09638,舍,0529,1,6,135
09665,般,0530,1,2,137
09716,色,0531,1,5,139
09788,若,0532,1,32,140
09789,苦,0533,1,4,140
09869,莊,0534,1,3,140
09919,菩,0535,1,61,140
09921,華,0537,1,36,140
09954,萬,0538,1,19,140
09905,菔,0539,1,2,140
10040,蓋,0540,1,4,140
10050,蓮,0541,1,4,140
10163,薩,0542,1,64,140
10192,藐,0544,1,6,140
10204,藥,0545a,2,5,140
10204b,藥,0545b,2,4,140
10272,虛,0546,1,7,141
10614,行,0547,1,15,144
10637,衣,0548,1,4,145
10822,要,0549,1,3,146
10826,覆,0550,1,2,146
10831,見,0551,1,25,147
10875,解,0552,1,8,148
10890,言,0553,1,26,149
10936,訶,0554,1,10,149
11008,誓,0555,1,2,149
11017,語,0556,1,6,149
11023,誦,0557,1,5,149
11025,説,0558,1,31,149
11085,諸,0559,1,77,149
M04574,,0561,1,2,030
11189,譬,0562,1,2,149
11195,議,0563,1,2,149
11200,護,0564,1,3,149
11207,讀,0565,1,5,149
11229,讚,0566,1,6,149
11461,起,0567,1,5,156
11495,足,0568,1,5,157
11715,身,0569,1,25,158
11745,軍,0570,1,2,159
11827,輪,0571,1,2,159
11856,轉,0572,1,2,159
11898,辟,0573,1,4,160
11960,迦,0574,1,17,162
12000,通,0575,1,6,162
12022,進,0576,1,3,162
12062,遙,0577,1,2,162
12108,還,0578,1,7,162
03157,徧,0579,1,7,060
12046,過,0580,1,4,162
12051,道,0581,1,7,162
12115,邊,0582,1,11,162
12134,那,0583,1,9,163
12371,釋,0584,1,12,165
12376,量,0585,1,24,166
12654,鐵,0586,1,2,167
12698,長,0587,1,2,168
12724,間,0588,1,5,169
12736,閡,0589,1,2,169
12757,閻,0590,1,2,169
12768,闇,0591,1,3,169
12800,闥,0592,1,3,169
12830,阿,0593,1,23,170
12831,陀,0594,1,7,170
12855,除,0595,1,4,170
12927,隨,0596,1,5,170
12991,雖,0597,1,2,172
13001,離,0598,1,2,172
13002,難,0599,1,4,172
13012,雨,0600,1,3,173
13020,雲,0601,1,2,173
13036,震,0602,1,2,173
13095,青,0603,1,2,174
13104,非,0604,1,3,175
13296,頂,0605,1,2,181
13304,須,0606,1,3,181
13346,頭,0607,1,3,181
13380,顏,0608,1,2,181
13391,願,0609,1,5,181
13551,養,0610,1,27,184
13565,餘,0611,1,2,184
13667,香,0612,1,22,186
13940,高,0613,1,3,189
14088,魔,0614,1,4,194
14709,黑,0615,1,2,203
14876,龍,0616,1,5,212
02355,宿,0617a,2,8,040
02355b,宿,0617b,2,5,040
02396,寫,0618a,2,2,040
02396b,寫,0618b,2,1,040
02464,就,0619a,2,1,043
02464b,就,0619b,2,1,043
03647,所,0620,1,36,063
04261,教,0621a,2,4,066
04261b,教,0621b,2,1,066
04918,栴,0622,1,6,075
10270,處,0623a,2,4,141
10270b,處,0623b,2,1,141
