カード番号,文字,部首,字体数,用例数1,用例数2,大字典,,,,,
0559,量,166,1,20,,12376,,,,,
0560,長,168,1,4,,12698,,,,,
0561,門,169,1,7,,12709,,,,,
0562,闥,169,1,4,,12800,,,,,
0563,開,169,1,5,,12716,,,,,
0564,間,169,1,15,,12724,,,,,
0565,險,170,1,8,,12929,,,,,
0566,隨,170,1,4,,12927,,,,,
0567,隱,170,1,9,,12935,,,,,
0568,阿,170,1,21,,12830,,,,,
0569,集,172,1,4,,12963,,,,,
0570,難,172,1,10,,13002,,,,,
0571,雄,172,1,2,,12961,,,,,
0572,雲,173,1,2,,13020,,,,,
0573,露,173,1,3,,13073,,,,,
0574,震,173,1,3,,13036,,,,,
0575,雨,173,1,9,,13012,,,,,
0576,靜,174,1,3,,13103,,,,,
0577,非,175,1,8,,13104,,,,,
0578,面,176,1,7,,13108,,,,,
0579,音,180,1,3,,13281,,,,,
0580,類,181,1,2,,13398,,,,,
0581,須,181,1,6,,13304,,,,,
0582,顯,181,1,2,,13416,,,,,
0583,願,181,1,19,,13391,,,,,
0584,頭,181,1,6,,13346,,,,,
0585,頌,181,1,6,,13307,,,,,
0586,風,182,1,2,,13423,,,,,
0587,飾,184,1,4,,13542,,,,,
0588,饒,184,1,7,,13641,,,,,
0589,養,184,1,17,,13551,,,,,
0590,餘,184,1,7,,13565,,,,,
0591,香,186,1,3,,13667,,,,,
0592,高,189,1,3,,13940,,,,,
0593,魔,194,1,3,,14088,,,,,
0594,鼓,207,1,4,,14775,,,,,
0595,龍,212,1,5,,14876,,,,,
0596,世,001,2,38,22,00025,,,,,
0598,作,009,2,20,11,00256,,,,,
0599,已,049,2,29,3,02783,,,,,
0600,涅,085,2,9,2,06189,,,,,
0601,羣,123,2,1,1,09175,,,,,
0602,與,134,2,5,5,09629,,,,,
0603,西,146,1,6,,10820,,,,,
